Ahmet Hamdi Tanpınar | Huzur | Roman | 3 kez | - | Mümtaz ve Nuran'ın aşkı ekseninde Doğu-Batı çatışmasını, musiki ve zaman temalarını işleyen başyapıttır. | Cumhuriyet Dönemi'nin en derinlikli yazarlarındandır. Şiirlerinde rüya, zaman ve musiki ön plandadır.
Fazıl Hüsnü Dağlarca | Çocuk ve Allah | Şiir | - | - | Çocuk duyarlılığıyla varoluşu ve Tanrı kavramını sorgulayan, metafizik derinliği olan eseridir. | 'Destan Şairi' olarak tanınan, Türkçeyi 'ses bayrağı' olarak nitelendiren dev şairdir.
Fazıl Hüsnü Dağlarca | Üç Şehitler Destanı | Şiir / Destan | - | - | Milli Mücadele'nin kahramanlık ruhunu epik bir dille yansıtan anıtsal destanıdır. | 
Fazıl Hüsnü Dağlarca | Çakırın Destanı | Şiir / Destan | - | - | Kurtuluş Savaşı'nı bir halk kahramanı üzerinden anlatan güçlü bir epik eseridir. | 
Behçet Necatigil | Evler | Şiir | - | - | Şehre sıkışmış insanın ev içindeki dünyasını ve dar çevrelerin dramını işleyen şiir kitabıdır. | 'Evler Şairi' olarak anılan, modern şiirimizin en özgün seslerinden biridir.
Behçet Necatigil | Kapalı Çarşı | Şiir | - | - | Gündelik hayatı ve eşyaları sembolik bir dille anlattığı ilk şiir kitabıdır. | 
Behçet Necatigil | Eski Toprak | Şiir | - | - | Gelenekle moderni sentezlediği, dil işçiliği yüksek olan olgunluk dönemi eseridir. | 
Cahit Zarifoğlu | İşaret Çocukları | Şiir | - | - | Kapalı imge dünyası ve mistik derinliğiyle şiirimize yeni bir soluk getiren ilk kitabıdır. | Yedi Güzel Adam'ın en imgesel ve gizemli şairidir.
Cahit Zarifoğlu | Yedi Güzel Adam | Şiir | - | - | İnançlı bir neslin portresini ve manevi mücadelesini epik-mistik bir dille anlatan eseridir. | 
Cahit Zarifoğlu | Korku ve Yakarış | Şiir | - | - | İnsanın Rabbiyle olan dertleşmesini ve varoluşsal kaygılarını işleyen son şiir kitabıdır. | 
İsmet Özel | Evet İsyan | Şiir | - | - | Toplumcu gerçekçi döneminin en radikal ve vurucu şiirlerini içeren başkaldırı kitabıdır. | Hem toplumcu hem mistik evreleriyle şiirimizin en güçlü seslerinden biridir.
İsmet Özel | Erbain | Şiir | - | - | Şairin kırk yaşına kadar yazdığı ve dönüşüm sürecini yansıtan toplu şiir kitabıdır. | 
İsmet Özel | Amentü | Şiir | - | - | Şairin ruhsal ve düşünsel dönüşümünü destansı bir dille anlattığı meşhur şiiridir. | 
Sait Faik Abasıyanık | Semaver | Hikâye | - | - | Durum hikâyeciliğinin ilk örneklerini içeren, sıradan insanı sevgiyle anlatan öyküleridir. | Modern Türk hikâyeciliğinin ve durum öyküsünün zirve ismidir.
Sait Faik Abasıyanık | Lüzumsuz Adam | Hikâye | - | - | İstanbul'un mahallelerini ve aylak insanların iç dünyasını samimiyetle yansıtan öyküleridir. | 
Sait Faik Abasıyanık | Alemdağ'da Var Bir Yılan | Hikâye | - | - | Gerçeküstücü öğelerin ve yalnızlık temasının zirveye çıktığı, modernizmin öncü eseridir. | 
Sait Faik Abasıyanık | Kayıp Aranıyor | Roman | - | - | Özgür ruhlu bir kadının toplumla çatışmasını ve arayışını işleyen tek romanıdır. | 
Yaşar Kemal | İnce Memed | Roman | - | - | Haksızlığa karşı dağa çıkan bir halk kahramanının destansı mücadelesini anlatan başyapıtıdır. | Çukurova'nın ve halk efsanelerinin dünyaca ünlü anlatıcısıdır.
Yaşar Kemal | Yer Demir Gök Bakır | Roman | - | - | Toros köylüsünün doğayla ve kendi yarattığı efsanelerle olan mücadelesini işleyen eseridir. | 
Yaşar Kemal | Yılanı Öldürseler | Roman | - | - | Kan davası ve töre baskısını bir çocuğun gözünden anlatan sarsıcı bir romandır. | 
Orhan Kemal | Bereketli Topraklar Üzerinde | Roman | - | - | Çukurova'daki işçi sömürüsünü ve ekmek kavgasını tüm gerçekliğiyle anlatan romandır. | 'Aydınlık gerçekçilik' anlayışıyla işçi ve yoksulun sesidir.
Orhan Kemal | Murtaza | Roman | - | - | Görev aşkı ile absürtlük arasında sıkışan bir karakterin trajikomik hikâyesidir. | 
Orhan Kemal | 72. Koğuş | Hikâye / Roman | - | - | Cezaevi ortamındaki insanlık dramını ve dayanışmayı sarsıcı bir dille işler. | 
Kemal Tahir | Devlet Ana | Roman | - | - | Osmanlı'nın kuruluşunu ve Türk toplum yapısını sosyolojik bir derinlikle anlatan romandır. | Tarihe ve toplumsal yapıya yerli bir gözle bakan dev romancıdır.
Kemal Tahir | Yorgun Savaşçı | Roman | - | - | Milli Mücadele yıllarını ve yorgun bir kuşağın iç hesaplaşmalarını anlatan önemli eseridir. | 
Kemal Tahir | Esir Şehrin İnsanları | Roman | - | - | İşgal altındaki İstanbul'da aydınların direnişini ve toplumsal yapıyı işler. | 
Peyami Safa | Dokuzuncu Hariciye Koğuşu | Roman | - | - | Hasta bir gencin psikolojisini ve acılarını anlatan en başarılı psikolojik romanımızdır. | Bireyin iç dünyasını ve psikolojik tahlilleri esas alan yazardır.
Peyami Safa | Fatih-Harbiye | Roman | - | - | Doğu-Batı çatışmasını iki farklı semt ve yaşam tarzı üzerinden anlatan tezli romandır. | 
Peyami Safa | Yalnızız | Roman | - | - | İnsanın içsel yalnızlığını ve manevi boşluğunu felsefi bir derinlikle işleyen romanıdır. | 
Tarık Buğra | Küçük Ağa | Roman | - | - | Milli Mücadele'yi bir Anadolu kasabası ve insanların iç dünyası üzerinden anlatan başyapıttır. | Tarihi olaylara psikolojik ve insani bir gözle bakan usta yazardır.
Tarık Buğra | Osmancık | Roman | - | - | Osman Bey'in şahsiyetinin olgunlaşması üzerinden Osmanlı'nın kuruluşunu anlatan romandır. | 
Oğuz Atay | Tutunamayanlar | Roman | - | - | Modern şehir hayatında tutunamayan aydının yalnızlığını ve bunalımını anlatan ilk postmodern romandır. | Modernizm ve postmodernizmin edebiyatımızdaki kurucu ismidir.
Oğuz Atay | Tehlikeli Oyunlar | Roman | - | - | Gerçeklik ile kurgu arasındaki sınırı bulanıklaştıran, bireyin oyunlar dünyasını işleyen eseridir. | 
Oğuz Atay | Korkuyu Beklerken | Hikâye | - | - | Modern insanın korkularını ve yalnızlığını dâhice kurgulanmış öykülerle anlatır. | 
Orhan Pamuk | Kara Kitap | Roman | - | - | Kimlik arayışını ve İstanbul'u metinlerarasılık tekniğiyle anlatan postmodern zirve eseridir. | Nobel ödüllü, dünyaca ünlü postmodern romancımızdır.
Orhan Pamuk | Benim Adım Kırmızı | Roman | - | - | Osmanlı nakkaşlar dünyasını bir cinayet kurgusu içinde, sanat felsefesiyle harmanlayan romanıdır. | 
Orhan Pamuk | Cevdet Bey ve Oğulları | Roman | - | - | Bir ailenin üç kuşaklık değişimini ve Türkiye'nin modernleşmesini anlatan ilk romanıdır. | 
Yusuf Atılgan | Aylak Adam | Roman | - | - | Hiçbir yere ait olamayan yabancılaşmış bireyin (C.) iç dünyasını işleyen kült modernist romandır. | Yabancılaşma ve modern insanın yalnızlığı dendiğinde akla gelen ilk isimdir.
Yusuf Atılgan | Anayurt Oteli | Roman | - | - | Zebercet karakteri üzerinden yalnızlığı ve ruhsal çöküşü sarsıcı bir dille anlatan romandır. | 
Cemal Süreya | Üvercinka | Şiir | - | - | İkinci Yeni'nin lirik, ironik ve imge zenginliğiyle yüklü ilk şiir kitabıdır. | İkinci Yeni'nin en lirik ve 'zekâ' dolu şairidir.
Cemal Süreya | Sevda Sözleri | Şiir | - | - | Şairin tüm şiirlerini topladığı, aşk ve hüzün dolu başvuru kitabıdır. | 
Edip Cansever | Yerçekimli Karanfil | Şiir | - | - | İkinci Yeni'nin en karakteristik imge dünyasını yansıtan ödüllü şiir kitabıdır. | 'Düşünce şairi' olarak anılan İkinci Yeni'nin en üretken ismidir.
Edip Cansever | Tragedyalar | Şiir / Dram | - | - | Şiiri diyalog ve dramatik bir yapıyla buluşturan uzun soluklu eseridir. | 
Turgut Uyar | Dünyanın En Güzel Arabistanı | Şiir | - | - | Modern insanın yalnızlığını ve kaçışlarını imgesel bir dille anlatan dönüm noktası eseridir. | İkinci Yeni'nin en güçlü yapılı ve sarsıcı şairlerinden biridir.
Turgut Uyar | Geyikli Gece | Şiir | - | - | İnsanın doğaya ve sığınacak bir yer arayışına dair en meşhur şiirlerinden biridir. | 
Sezai Karakoç | Mona Roza | Şiir | - | - | İkinci Yeni tekniklerini mistik bir duyarlılıkla birleştiren, edebiyatımızın en meşhur aşk şiiridir. | Mistik duyarlılık ve 'Diriliş' felsefesinin kurucusu şairdir.
Sezai Karakoç | Hızırla Kırk Saat | Şiir | - | - | İslam medeniyetinin değerlerini peygamber kıssaları üzerinden modern bir dille anlatan destanıdır. | 
Mustafa Kutlu | Uzun Hikâye | Hikâye | - | - | Bir ailenin Anadolu yollarındaki serüvenini ve adalet arayışını meddah tarzında anlatan eseridir. | 'Uzun hikâye' türünün ustası ve manevi duyarlılığın sesidir.
Mustafa Kutlu | Yoksulluk İçimizde | Hikâye | - | - | Modern hayatın yoksullaştırdığı insan ruhunu ve tasavvufi arayışı işleyen etkileyici öyküsüdür. | 
Mustafa Kutlu | Ya Tahammül Ya Sefer | Hikâye | - | - | İnançlı insanların toplumsal değişim karşısındaki duruşunu ve içsel mücadelesini anlatır. | 
Rasim Özdenören | Gül Yetiştiren Adam | Roman | - | - | Geleneğine bağlı insanın modern dünya ile hesaplaşmasını sembolik bir dille anlatan kült romandır. | 'Yedi Güzel Adam'dan biri, yabancılaşma ve içsel arayışın yazarıdır.
Rasim Özdenören | Hastalar ve Işıklar | Hikâye | - | - | Bireyin iç dünyasındaki huzursuzlukları ve manevi ışık arayışını işleyen ilk hikâye kitabıdır. | 
Erdem Bayazıt | Sebep Ey | Şiir | - | - | Modern kentin boğuculuğuna karşı İslami duyarlılığı ve metafizik direnişi haykıran ilk kitabıdır. | 'Yedi Güzel Adam'ın epik ve mistik sesidir.
Erdem Bayazıt | Risaleler | Şiir | - | - | İnanç sancılarını ve evrensel Müslüman duyarlılığını lirik bir dille işleyen şiir kitabıdır. | 
Nuri Pakdil | Batı Notları | Deneme / Gezi | - | - | Batı medeniyetini yerli bir gözle sorgulayan ve Kudüs bilincini işleyen önemli eseridir. | 'Kudüs Şairi' ve 'Edebiyat' dergisi ekolünün kurucusudur.
Nuri Pakdil | Anneler ve Kudüsler | Şiir | - | - | Kudüs davasını ve anne şefkatini manevi bir düzlemde birleştiren şiir kitabıdır. | 
Sevinç Çokum | Hilal Görününce | Roman | - | - | Kırım Türklerinin vatan hasretini ve yaşadıkları büyük dramı destansı bir dille anlatan romandır. | Milli ve manevi değerleri, sürgünleri ve İstanbul kültürünü anlatan yazardır.
Sevinç Çokum | Ağustos Başağı | Roman | - | - | Kurtuluş Savaşı yıllarını bir Anadolu kasabası üzerinden, milli duyarlılıkla anlatan romanıdır. | 
Mustafa Necati Sepetçioğlu | Kilit | Roman | - | - | Anadolu'nun kapılarının Türklere açılmasını (Malazgirt) anlatan tarihi roman dizisinin ilk halkasıdır. | Türk tarihini roman dizileriyle destanlaştıran usta yazardır.
Mustafa Necati Sepetçioğlu | Anahtar | Roman | - | - | Anadolu'nun fethini ve yerleşme sürecini tarihi gerçekler ışığında anlatan devam romanıdır. | 
Attila İlhan | Sisler Bulvarı | Şiir | - | - | Büyük şehrin yalnızlığını ve melankoliyi sinematografik imgelerle anlatan meşhur kitabıdır. | Mavi akımının öncüsü, toplumcu ve romantik duyarlılığın şairidir.
Attila İlhan | Ben Sana Mecburum | Şiir | - | - | Aşk ve yalnızlık temalarını divan şiiri estetiğiyle modern formda buluşturan en popüler kitabıdır. | 
Rıfat Ilgaz | Hababam Sınıfı | Roman | - | - | Eğitim sistemindeki aksaklıkları mizahi ve insancıl bir dille anlatan ölümsüz mizah eseridir. | Toplumcu gerçekçi 'Koca Çınar', şair ve mizah ustasıdır.
Nurullah Ataç | Karalama Defteri | Deneme | - | - | Türkçenin özleşmesi ve yeni edebiyat anlayışı üzerine yazılmış temel deneme kitabıdır. | 'Eleştirmenler Kralı', deneme ve öztürkçecilik akımının öncüsüdür.
Suut Kemal Yetkin | Günlerin Götürdüğü | Deneme | - | - | Sanat ve edebiyat üzerine estetik kaygısı yüksek, zarif denemelerini içeren kitabıdır. | Estetik ve deneme türünün önemli temsilcisidir.
Haldun Taner | Keşanlı Ali Destanı | Tiyatro | - | - | Gecekondu hayatını ve sosyal sorunları epik tiyatro formunda işleyen ilk eserimizdir. | Epik tiyatro ve kabare türünün kurucusu, usta öykücü ve oyun yazarıdır.
Arif Nihat Asya | Bayrak | Şiir | - | - | Milli heyecanı ve bayrak sevgisini zirveye taşıyan, hamasi söyleyişin en güzel örneğidir. | 'Bayrak Şairi' olarak anılan, vatan ve millet sevgisinin gür sesidir.
Ahmet Kutsi Tecer | Köşebaşı | Tiyatro | - | - | İstanbul mahalle hayatını ve insan ilişkilerini geleneksel tiyatro unsurlarıyla yansıtan oyunudur. | Halk kültürünü keşfeden, Âşık Veysel'i tanıtan kültür adamı ve şairdir.
Faruk Nafiz Çamlıbel | Sanat | Şiir | - | - | Milli edebiyatın estetik manifestosu sayılan, yerli sanat anlayışını savunan şiiridir. | Beş Hececiler'in lideri ve 'Memleket Edebiyatı'nın öncüsüdür.
