Nabi | Hayriyye | Mesnevi | 2013 Türkçe ÖABT ve 2023 Okul Öncesi ÖABT'de sorulmuştur. |  | (1701) Türk çocuk edebiyatının öncü eserlerinden biri olarak kabul edilir. | 
Eflatun Cem Güney | Dede Korkut Masalları | Masal | 2017 Türkçe ÖABT ve 2021 Okul Öncesi ÖABT'de sorulmuştur; Hans Christian Andersen Payesi Şeref Diploması almıştır. |  | Bu eserle Hans Christian Andersen Payesi Şeref Diploması'nı ikinci kez almıştır. | 
Eflatun Cem Güney | Az Gittim Uz Gittim | Masal | 2017 Türkçe ÖABT'de sorulmuştur. |  | | 
Eflatun Cem Güney | Evvel Zaman İçinde | Masal | 2017 Türkçe ÖABT'de sorulmuştur. |  | | 
Eflatun Cem Güney | Dertli Kaval | Masal |  |  | | 
Eflatun Cem Güney | Bir Varmış Bir Yokmuş | Masal |  |  | | 
Eflatun Cem Güney | Nasrettin Hoca | Fıkra |  |  | | 
Eflatun Cem Güney | Gökten Üç Elma Düştü | Masal |  |  | | 
Eflatun Cem Güney | En Güzel Türk Masalları | Masal |  |  | | 
Kayserili Doktor Rüşdü Bey | Nuhbetü'l Etfal | Alfabe Kitabı | 2018 Türkçe ÖABT ve 2017 Sınıf ÖABT'de sorulmuştur. |  | (1859) Arapça alfabe kitabıdır. Arkasında çocukları eğlendirmek amacıyla yazılmış çocuk hikâyeleri, fabl çevirileri ve kısa hayvan öyküleri bulunur. | 
Nazım Hikmet | Sevdalı Bulut | Şiir (Masal-Şiir) | 1 kez |  | Çocuklar için yazdığı, masal formunda ve şiirsel bir anlatımla sevgi, dostluk ve paylaşma temalarını işleyen eseridir. | Türk edebiyatının dünya çapında tanınan toplumcu gerçekçi şairidir. Serbest nazmın öncüsü olmuş, epik şiirleri ve oyunlarıyla tanınmıştır.
Rıfat Ilgaz | Halime Kaptan | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  |  | Toplumcu gerçekçi edebiyatın usta ismi, \"Hababam Sınıfı\"nın yazarıdır. Mizahı toplumsal eleştiri için kullanmıştır.
Rıfat Ilgaz | Hababam Sınıfı | Roman |  |  | (1957) | 
Rıfat Ilgaz | Bacaksız Serisi | Roman | 2020 Sınıf ÖABT'de sorulmuştur. |  | | 
Rıfat Ilgaz | Küçük Çekmece Okyanusu | Roman |  |  | | 
Rıfat Ilgaz | Cankurtaran Yılmaz | Roman |  |  | | 
Kemal Bilbaşar | Yonca Kız | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  | | 
Yılmaz Boyunağa | Yankılı Kayalar | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  | | 
Yılmaz Boyunağa | Kuyudaki Çocuk | Roman |  |  | | 
Yılmaz Boyunağa | Macera Adası | Roman |  |  | | 
Yılmaz Boyunağa | Satıcı Çocuk | Roman |  |  | | 
Yılmaz Boyunağa | Malazgirt'in Üç Atlısı | Roman |  |  | | 
Gülten Dayıoğlu | Dört Kardeştiler | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  | | 
Gülten Dayıoğlu | Suna'nın Serçeleri | Öykü | 2019 Türkçe ÖABT'de sorulmuştur. |  | | 
Gülten Dayıoğlu | Yeşil Kiraz | Öykü | 2019 Türkçe ÖABT'de sorulmuştur. |  | | 
Gülten Dayıoğlu | Dünya Çocukların Olsa | Öykü | 2019 Türkçe ÖABT'de sorulmuştur. |  | | 
Gülten Dayıoğlu | Akıllı Pireler | Öykü | 2019 Türkçe ÖABT'de sorulmuştur. |  | | 
Gülten Dayıoğlu | Mo'nun Gizemi | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  | | 
Gülten Dayıoğlu | Işın Çağı Çocukları | Roman | 2019 Türkçe ÖABT'de sorulmuştur. |  | | 
Gülten Dayıoğlu | Yurdumu Özledim | Öykü |  |  | | 
Gülten Dayıoğlu | Uçan Motor | Öykü |  |  | | 
Gülten Dayıoğlu | Kırmızı Bisiklet | Roman |  |  | | 
Gülten Dayıoğlu | Parpat Dağının Esrarı | Roman |  |  | | 
Gülten Dayıoğlu | Ece ile Yüce Serisi | Öykü Dizisi |  |  | 6-9 yaş grubu için yazılmış yirmi kitaplık bir dizidir. | 
Behiç Ak | Uyurgezer Fil | Çocuk Kitabı | 2020 Türkçe ÖABT ve 2020 Sınıf ÖABT'de sorulmuştur. |  | | 
Behiç Ak | Yaşasın Ç Harfi Kardeşliği! | Çocuk Romanı |  | 2013 ÇGYD Yılın Çocuk Romanı Ödülü, 2014 ÇOGEM Çocuk ve Gençlik Edebiyatı Roman Ödülü. | Çocuk ve Gençlik Yayınları Derneği'nin 2013 Yılın Çocuk Romanı Ödülü'nü ve Ankara Üniversitesi ÇOGEM 2014 Çocuk ve Gençlik Edebiyatı Roman Ödülü'nü kazanmıştır. | 
Behiç Ak | Bulutlara Şiir Yazan Çocuk | Çocuk Kitabı |  |  | | 
Behiç Ak | Berberdeki Papağan | Çocuk Kitabı |  |  | | 
Behiç Ak | Postayla Gelen Deniz Kabuğu | Çocuk Kitabı |  |  | | 
Behiç Ak | Galata'nın Tembel Martısı | Çocuk Kitabı |  |  | | 
Behiç Ak | Pat Karikatür Okulu | Çocuk Kitabı |  |  | | 
Behiç Ak | Yüksek Tansiyonlu Çınar Ağacı | Çocuk Kitabı |  |  | | 
Behiç Ak | Geçmişe Tırmanan Merdiven | Çocuk Kitabı |  |  | | 
Aytül Akal | Öğretmenin Sihirli Şapkası | Çocuk Kitabı | 2020 Türkçe ÖABT ve 2020 Sınıf ÖABT'de sorulmuştur. |  | | 
Aytül Akal | Ben Minicik Bir Bebektim | Çocuk Kitabı |  | 1995 Eflatun Cem Güney 0-6 yaş çocuk kitabı ödülü. | T.C. Kültür Bakanlığı'nın 1995'te ilk kez düzenlediği Eflatun Cem Güney 0-6 yaş çocuk kitabı yarışmasında ödül almıştır. | 
Aytül Akal | Süper Gazeteciler | Çocuk Kitabı |  |  | | 
Aytül Akal | Sabahı Boyayan Çocuk | Çocuk Kitabı |  |  | | 
Aytül Akal | Geceyi Sevmeyen Çocuk | Çocuk Kitabı |  |  | | 
Aytül Akal | Canı Sıkılan Çocuk | Çocuk Kitabı |  |  | | 
Aytül Akal | Kardeş İsteyen Çocuk | Çocuk Kitabı |  |  | | 
Aytül Akal | Masalları Arayan Çocuk | Çocuk Kitabı |  |  | | 
Aytül Akal | Sihirli Kapı | Çocuk Kitabı |  |  | | 
Aytül Akal | Mevsimler Kralı | Çocuk Kitabı |  |  | | 
Aytül Akal ve Mavisel Yener | Mavi Ay | Şiir |  | 2004 Çocuk Edebiyatçıları Birliği Yılın Çocuk Şiiri Kitabı Ödülü. | Çocuk Edebiyatçıları Birliği Yılın Çocuk Şiiri Kitabı Ödülü (2004) | 
Aytül Akal ve Mavisel Yener | Kar Sesi | Şiir |  |  |  | 
Aytül Akal ve Mavisel Yener | Denizin Büyüsü | Şiir |  |  |  | 
Bilgin Adalı | Zaman Bisikleti | Roman | 2020 Türkçe ÖABT ve 2020 Sınıf ÖABT'de sorulmuştur. |  | | 
Bilgin Adalı | Çevre Kardeşliği | Roman |  |  | | 
Bilgin Adalı | Geçmişten Gelen Konuklar | Roman |  |  | | 
Bilgin Adalı | Genlerin Şifresi | Roman |  |  | | 
Bilgin Adalı | Atlantisin Çocukları | Roman |  |  | | 
Zeynep Cemali | Ankaralı | Öykü | 2020 Türkçe ÖABT'de sorulmuştur. |  |  | 
Zeynep Cemali | Ben, Çınar Ağacı ve Pufböreği | Öykü |  |  |  | 
Zeynep Cemali | Gül Sokağı'nın Dikenleri | Öykü |  |  |  | 
Zeynep Cemali | Patenli Kız | Öykü |  |  |  | 
Zeynep Cemali | Ballı Çörek Kafeteryası | Öykü |  |  |  | 
Zeynep Cemali | Çılgın Babam | Öykü |  |  |  | 
Zeynep Cemali | Öykü Öykü Gezen Kedi | Öykü |  |  |  | 
Ayla Çınaroğlu | Mavi Boya | Öykü | 2020 Türkçe ÖABT'de sorulmuştur. |  |  | 
Ayla Çınaroğlu | Uzay Güzeli | Öykü |  |  |  | 
Ayla Çınaroğlu | Şiir Gemisi | Şiir |  |  |  | 
Ayla Çınaroğlu | Küçük Mor Balık | Öykü |  |  |  | 
Cahit Uçuk | Türk İkizleri | Roman | 2022 Türkçe ÖABT'de sorulmuştur; Hans Christian Andersen ödülü almıştır. |  | Dünyanın ünlü çocuk klasikleri 'İkizler' serisinin 28. kitabıdır. Bu eserle Hans Christian Andersen ödülünü almıştır. | 
Cahit Uçuk | Ateş Gözlü Dev | Masal | 2022 Türkçe ÖABT'de sorulmuştur. |  | | 
Cahit Uçuk | Kurnaz Tilki | Masal | 2022 Türkçe ÖABT'de sorulmuştur. |  | | 
Cahit Uçuk | Kırmızı Mantarlar | Masal |  |  | | 
Cahit Uçuk | Üç Masal | Masal |  |  | | 
Cahit Uçuk | Türk Çocuğuna Masallar | Masal |  |  | | 
Cahit Uçuk | Sihirli Bilezik | Masal |  |  | | 
Cahit Uçuk | Gümüş Kanat | Masal |  |  | | 
Cahit Uçuk | Unutulmaz Gezi | Gezi |  |  | | 
Mustafa Ruhi Şirin | Leyleğin Aklı | Öykü | 2025 Türkçe ÖABT'de sorulmuştur. |  | | 
Mustafa Ruhi Şirin | Yıldız Sayan Ağaç | Öykü | 2025 Türkçe ÖABT'de sorulmuştur. |  | | 
Mustafa Ruhi Şirin | Gökyüzü Çiçekleri | Öykü | 2025 Türkçe ÖABT'de sorulmuştur. |  | | 
Mustafa Ruhi Şirin | Masal Mektupları | Öykü |  |  | | 
Mustafa Ruhi Şirin | Kuş Ağacı | Öykü |  | UNESCO Asya Kültür Merkezi 1992 Resimli Çocuk Kitapları Yarışması Ödülü. | UNESCO Asya Kültür Merkezi Resimli Çocuk Kitapları 1992 Yarışması Ödülü sahibidir. | 
Mustafa Ruhi Şirin | Gösteri Çağı Çocukları | Öykü |  |  | | 
Mustafa Ruhi Şirin | Mavi Rüyalar Gören Çocuk | Öykü |  |  | | 
Mustafa Ruhi Şirin | Guguklu Saatin Kumrusu | Öykü |  |  | | 
Mustafa Ruhi Şirin | Dünyaya Gülen Adam | Öykü |  |  | | 
Mustafa Ruhi Şirin | Her Çocuğun Bir Yıldızı Var | Öykü |  |  | | 
Pertev Naili Boratav | Türk Masal Tipleri Katoloğu | Akademik Çalışma | 2018 Sınıf ÖABT'de masal derleyicileri arasında sorulmuştur. |  | Prof. Dr. Wolfram Eberhard ile birlikte hazırlamıştır. | 
Naki Tezel | Türk Masalları | Masal Derlemesi | 2018 Sınıf ÖABT'de masal derleyicileri arasında sorulmuştur. |  | En çok ilgi gören eseridir. | 
Naki Tezel | İstanbul Masalları | Masal Derlemesi |  |  | | 
Naki Tezel | Çocuk Masalları | Masal |  |  | | 
Naki Tezel | Keloğlan Masalları | Masal Derlemesi |  |  | | 
Oğuz Tansel | Allı ile Fırfırı | Masal | 2018 Sınıf ÖABT'de masal derleyicileri arasında sorulmuştur; 1976 TRT Masal Ödülü. |  | 1976'da TRT Masal Ödülü almıştır. | 
Oğuz Tansel | Altı Kardeşler | Masal |  | 1977 Türk Dil Kurumu Çocuk Yazını Ödülü (yazarın masallarına verilmiştir). | | 
Oğuz Tansel | Yedi Develer | Masal |  |  | | 
Oğuz Tansel | Üç Kızlar | Masal |  |  | | 
Oğuz Tansel | Mavi Gelin | Masal |  |  | | 
Can Göknil | Kirpi Masalı | Masal | 2025 Okul Öncesi ÖABT'de sorulmuştur. |  | (1974) Türkiye'deki ilk resimli çocuk kitabıdır. Okul öncesi çocuklarına hitap eden ilk resimli çocuk kitabımızdır. | 
Can Göknil | Bilmecelerle ABC | Alfabe Kitabı |  |  | Alfabemizde her harfe özel eğlenceli bilmeceler sunan, okul öncesi ve ilkokul çocukları için harf öğretici resimli bir kitaptır. | 
Sümbülzade Vehbi | Lütfiyye | Mesnevi | 2023 Okul Öncesi ÖABT'de sorulmuştur. |  | (18. yy) Nabi'nin Hayriyye'sine benzer bir nasihatname özelliği taşır. | 
Karl Marx | Vahşi Batı ve Kızılderililer | Roman |  |  | | 
Ahmet Mithat Efendi | Kıssadan Hisse | Hikâye |  |  | | 
Ahmet Mithat Efendi | Letaif-i Rivayat | Hikâye |  |  | | 
Çaylak Tevfik | Nasreddin Hoca Fıkraları | Fıkra Derlemesi |  |  | Nasreddin Hoca fıkralarını toplamıştır. | 
Recaizade Mahmut Ekrem | Tefekkür | Düzyazı |  |  | | 
Muallim Naci | Ömer'in Çocukluğu | Anı |  |  | Kendi çocukluk anılarına yer vermiştir. | 
Yusuf Kâmil Paşa | Tercüme-i Telemak | Çeviri Roman |  |  | (1862) Fenelon'dan yaptığı çevirileri toplamıştır. | 
Vakanüvis Lütfü (Ahmet Lütfi Efendi) | Robinson Crusoe Çevirisi | Çeviri Roman |  |  | Daniel Defoe'nun Robinson Crusoe adlı eserini tercüme etmiştir. | 
Ali Ulvi Elöve | Çocuklara Neşideler | Şiir |  |  | Türk çocuk edebiyatının ilk çocuk şairlerindendir. | 
İbrahim Alaettin Gövsa | Çocuk Şiirleri | Şiir |  |  | (1911) Türk çocuk edebiyatının ilk çocuk şiir kitaplarındandır. | 
Ziya Gökalp | Küçük Şehzade | Masal |  |  | Çalışkanlık ve dürüstlük temasını işler. | 
Ziya Gökalp | Yılan Bey ile Peltan Bey | Masal |  |  | Aile bağlarının önemini işler. | 
Ziya Gökalp | Keloğlan | Masal |  |  | | 
Ziya Gökalp | Nar Tanesi Yahut Düzme Keloğlan | Masal |  |  | | 
Ziya Gökalp | Keşiş Ne Gördün | Masal |  |  | İyi kalpliliğin faydasını işler. | 
Ziya Gökalp | Pekmezci Anne | Masal |  |  | Sabır temasını işler. | 
Ziya Gökalp | Tembel Ahmet | Masal |  |  | | 
Ziya Gökalp | Küçük Hemşire | Piyes |  |  | | 
Ziya Gökalp | Malazgirt Meydan Muharebesi | Piyes |  |  | Küçük bir oyun piyestir. | 
Ziya Gökalp | Kızıl Elma | Masal |  |  | | 
Ziya Gökalp | Arslan Basat ve Deli Dumrul | Masal |  |  | Dede Korkut Hikâyelerine dayanan masaldır. | 
Nimet Çalapala ve Rakım Çalapala | 87 Oğuz | Çocuk Hikâye Kitabı |  |  | | 
Ömer Seyfettin | Pembe İncili Kaftan | Hikâye |  |  | Tarihi hikaye, kahramanlık ve milliyetçilik teması. | 
Ömer Seyfettin | Başını Vermeyen Şehit | Hikâye |  |  | Tarihi hikaye. | 
Ömer Seyfettin | Kütük | Hikâye |  |  | Tarihi hikaye. | 
Ömer Seyfettin | Forsa | Hikâye |  |  | Tarihi hikaye. | 
Ömer Seyfettin | Ferman | Hikâye |  |  | Tarihi hikaye. | 
Ömer Seyfettin | Kızıl Elma Neresi? | Hikâye |  |  | Tarihi hikaye. | 
Ömer Seyfettin | İlk Namaz | Hikâye |  |  | Çocukluk ve anı hikayesi. | 
Ömer Seyfettin | And | Hikâye |  |  | Çocukluk ve anı hikayesi. | 
Ömer Seyfettin | Kaşağı | Hikâye |  |  | Çocukluk ve anı hikayesi. | 
Ömer Seyfettin | Falaka | Hikâye |  |  | Çocukluk ve anı hikayesi. | 
Ömer Seyfettin | Yüksek Ökçeler | Hikâye |  |  | Toplumsal eleştiri ve mizah hikayesi. | 
Ömer Seyfettin | Efruz Bey | Hikâye |  |  | Toplumsal eleştiri. | 
Ömer Seyfettin | Perili Köşk | Hikâye |  |  | Toplumsal eleştiri. | 
Ömer Seyfettin | Gizli Mabet | Hikâye |  |  | Bireysel ve psikolojik hikaye. | 
Ömer Seyfettin | Bomba | Hikâye |  |  | Bireysel ve psikolojik hikaye. | 
Orhan Veli Kanık | La Fontaine Çevirileri | Şiir/Fabl |  |  | La Fontaine'e benzer fabllar yazmış, Nasrettin Hoca fıkralarını nazma dönüştürmüştür. | 
Orhan Şaik Gökyay | Dedem Korkudun Kitabı | Araştırma/Derleme |  |  | Dede Korkut Hikayelerini günümüz Türkçesiyle yayımlamıştır. | 
Fazıl Hüsnü Dağlarca | Açıl Susam Açıl | Şiir | 2025 Sınıf ÖABT'de sorulmuştur. |  | | 
Fazıl Hüsnü Dağlarca | Çocuk ve Allah | Şiir | 2021 ve 2025 Sınıf ÖABT'de sorulmuştur. |  | | 
Fazıl Hüsnü Dağlarca | Yaramaz Sözcükler | Şiir | 2021 Sınıf ÖABT'de sorulmuştur. |  | | 
Fazıl Hüsnü Dağlarca | Göz Masalı | Şiir |  |  | | 
Fazıl Hüsnü Dağlarca | Yeryüzü Çocukları | Şiir | 2025 Sınıf ÖABT'de sorulmuştur. |  | | 
Fazıl Hüsnü Dağlarca | Şeker Yiyen Resimler | Şiir | 2025 Sınıf ÖABT'de sorulmuştur. |  | | 
Fazıl Hüsnü Dağlarca | Bitkiler Okulu | Şiir | 2025 Sınıf ÖABT'de sorulmuştur. |  | | 
Fazıl Hüsnü Dağlarca | Kaçan Ayılar Ülkesinde | Şiir |  |  | | 
Fazıl Hüsnü Dağlarca | Dolar Biriktiren Çocuk | Şiir |  |  | | 
Mahmut Yesari | Çulluk | Roman |  |  | | 
Mahmut Yesari | Bağrı Yanık Ömer | Roman |  |  | Türk edebiyatında çocuklar için doğrudan yazılan ilk romandır. | 
Mahmut Yesari | Kırlangıçlar | Roman |  |  | | 
Peyami Safa | Oduncunun Kızı | Öykü |  |  |  | 
Peyami Safa | Cesur Çocuklar | Öykü |  |  |  | 
Aka Gündüz | Bozgun | Şiir |  |  | | 
Vala Nurettin | Korkusuz Murat | Roman |  | Doğan Kardeş Ödülü almıştır. | Doğan Kardeş Ödülü'nü almıştır. | 
Kemalettin Tuğcu | Sokak Çocuğu | Roman |  |  |  | 
Kemalettin Tuğcu | Yetim Malı | Roman |  |  |  | 
Kemalettin Tuğcu | Kimsesiz Çocuklar | Roman |  |  |  | 
Kemalettin Tuğcu | Yetim Ali | Roman |  |  |  | 
Kemalettin Tuğcu | Zavallı Çocuk | Roman |  |  |  | 
Kemalettin Tuğcu | Ahretlik | Roman |  |  |  | 
Kemalettin Tuğcu | Ayşecik | Roman |  |  |  | 
Kemalettin Tuğcu | Anasının Kuzusu | Roman |  |  |  | 
Kemalettin Tuğcu | Üvey Baba | Roman |  |  |  | 
Kemalettin Tuğcu | Annesizler | Roman |  |  |  | 
Abdullah Ziya Kozanoğlu | Kızıl Tuğ | Roman |  |  | | 
Abdullah Ziya Kozanoğlu | Türk Korsanları | Roman |  |  | | 
Abdullah Ziya Kozanoğlu | Seyit Ali Reis | Roman |  |  | | 
Mümtaz Zeki Taşkın | Çocuklarımıza Resimli Şiirler | Şiir |  |  | | 
Mümtaz Zeki Taşkın | Çitlenbik Kız | Masal |  |  | Altı uzun masaldan oluşur. | 
Mümtaz Zeki Taşkın | Çocuklara Kahramanlık Hikâyeleri | Hikâye |  |  | | 
Mümtaz Zeki Taşkın | İstanbul Yemişi | Oyun |  |  | | 
Mümtaz Zeki Taşkın | Şampiyon Topaç | Oyun |  |  | | 
Orhan Kemal | İnci'nin Maceraları | Öykü |  |  |  | Toplumcu gerçekçi edebiyatın en önemli temsilcilerinden biridir. İşçi sınıfını, Çukurova'nın tarım işçilerini ve \"küçük adamın\" dramını anlatmıştır.
Orhan Kemal | Elli Kuruş Çikolata | Öykü |  |  | | 
Orhan Kemal | Aslan Tomson ve Köpek Yavrusu | Öykü |  |  | | 
Cahit Zarifoğlu | Yürekdede ile Padişah | Masal/Öykü |  |  |  | Modern Türk şiirinin mistik ve derinlikli seslerinden biridir. \"Yedi Güzel Adam\"dan biri olarak kabul edilir. Çocuk edebiyatında masalsı ve lirik bir dil kullanmıştır.
Cahit Zarifoğlu | Küçük Şehzade | Masal/Öykü |  |  | | 
Cahit Zarifoğlu | Motorlu Kuş | Masal/Öykü |  |  | | 
Cahit Zarifoğlu | Ağaç Okul | Masal/Öykü |  |  | | 
Cahit Zarifoğlu | Serçe Kuş | Masal/Öykü |  |  | | 
Cahit Zarifoğlu | Katıraslan | Masal/Öykü |  |  | | 
Cahit Zarifoğlu | Kuşların Dili | Masal/Öykü |  |  | | 
Aziz Nesin | Şimdiki Çocuklar Harika | Roman |  |  | | 
Aziz Nesin | Üç Karagöz Oyunu | Oyun |  |  | | 
Aziz Nesin | Pirtlatan Bal | Öykü |  |  | | 
Yalvaç Ural | Gölcüğün Küçük Avcıları | Öykü |  |  | | 
Yalvaç Ural | Korkuluğun Kalbi | Öykü |  |  | | 
Yalvaç Ural | La Fonten Orman Mahkemesinde | Öykü | 2021 Türkçe ÖABT'de sorulmuştur. |  | | 
Yalvaç Ural | Gözü Boynuz ile İzi Yaldız | Öykü | 2021 Türkçe ÖABT'de sorulmuştur. |  | | 
Yalvaç Ural | Kulağımdaki Küçük Çan | Öykü | 2021 Türkçe ÖABT'de sorulmuştur. |  | | 
Tarık Dursun Kakınç | Otobüsüm Kalkıyor | Öykü |  |  | | 
Tarık Dursun Kakınç | İyilikçi Tilki | Masal |  |  | | 
Tarık Dursun Kakınç | Horoz ile İnci | Masal |  |  | | 
Tarık Dursun Kakınç | La Fonten Masalları | Masal |  |  | | 
Tarık Dursun Kakınç | Yaramaz Kuzu | Masal |  |  | | 
Tarık Dursun Kakınç | Az Gittik, Uz Gittik, Dere Tepe Düz Gittik | Masal |  |  | | 
Tarık Dursun Kakınç | Hoşça Kal Küçük | Roman |  |  | | 
Muzaffer İzgü | Ökkeş Serisi | Roman Dizisi |  |  | On kitaplık bir dizidir. | Türk edebiyatının en üretken çocuk kitabı ve mizah yazarlarındandır. Toplumsal sorunları mizahi bir dille ele almıştır.
Muzaffer İzgü | Dayak Birincisi | Roman |  | Bulgaristan Altın Kirpi Ödülü almıştır. | Bulgaristan Altın Kirpi Ödülü'nü kazanmıştır. | 
Muzaffer İzgü | Donumdaki Para | Öykü |  | Türk Dil Kurumu Öykü Ödülü almıştır. | Türk Dil Kurumu Öykü Ödülü'nü almıştır. | 
Muzaffer İzgü | Uçtu Uçtu Ali Uçtu | Masal |  |  | Çocuk Kitapları Fuarı'nda birincilik ödülü sahibi olmuştur. | 
Muzaffer İzgü | Bülbül Düdük | Öykü |  |  | | 
Muzaffer İzgü | Zıkkımın Kökü | Roman |  |  | | 
Muzaffer İzgü | Yumurtadan Çıkan Öğretmen | Öykü |  |  | | 
Muzaffer İzgü | Hayri Potur | Öykü |  |  | | 
Muzaffer İzgü | Küçük Arı - Büyük Arı | Öykü |  |  | | 
Muzaffer İzgü | Ekmek Parası | Roman |  |  | | 
Muzaffer İzgü | Anneannem Askere Gidiyor | Öykü |  |  | | 
Muzaffer İzgü | Uzay Dolmuşu Kalkıyor | Öykü |  |  | | 
Mehmet Seyda | Bir Gün Büyüyeceksin | Roman |  | 1964 Doğan Kardeş Çocuk Romanı Armağanı almıştır. | 1964'te Doğan Kardeş Çocuk Romanı Armağanı'nı almıştır. | 
Mehmet Seyda | Şeytan Çekiçleri | Roman |  |  |  | 
Mehmet Seyda | Çikolata | Roman |  |  |  | 
Mehmet Seyda | Düşleme Oyunu | Roman |  |  |  | 
İbrahim Zeki Burdurlu | Nar Güzeli | Masal |  |  | | 
İbrahim Zeki Burdurlu | Dileği Gerçekleşmeyen Kız | Masal |  |  | | 
İbrahim Zeki Burdurlu | Güllü Padişah | Masal |  |  | | 
İbrahim Zeki Burdurlu | Mavi Pullu Balık | Masal |  |  | | 
İbrahim Zeki Burdurlu | Üç Yumak | Masal |  |  | | 
İbrahim Zeki Burdurlu | Kendi Bir Karış, Sakalı Üç Karış | Masal |  |  | | 
Talip Apaydın | Toprağa Basınca | Çocuk Kitabı |  |  | | 
Talip Apaydın | Elif Kızın Elleri | Çocuk Kitabı |  |  | | 
Talip Apaydın | Dağdaki Kaynak | Çocuk Kitabı |  |  | | 
Yaşar Kemal | Filler Sultanı ile Kırmızı Sakallı Topal Karınca | Masal/Öykü |  |  | | 
Ayla Kutlu | Merhaba Sevgi | Çocuk Kitabı |  |  | | 
Ayla Kutlu | Harika İkizler | Çocuk Kitabı |  |  | | 
Ayla Kutlu | Yıldız Yavrusu | Çocuk Kitabı |  |  | | 
Ayla Kutlu | Başı Kuşlu Çocuk | Çocuk Kitabı |  |  | | 
İpek Ongun | Mektup Arkadaşları | Roman |  |  |  | 
İpek Ongun | Kamp Arkadaşları | Roman |  |  |  | 
İpek Ongun | Afacanlar Çetesi | Roman |  |  |  | 
Nezihe Meriç | Alagün Çocukları | Öykü |  |  | | 
Nezihe Meriç | Küçük Bir Kız Tanıyorum Dizisi | Öykü Dizisi |  |  | 7 kitaptan oluşmaktadır. | 
Nezihe Meriç | Dur Dünya Çocukları Bekle | Öykü |  |  | | 
Nezihe Meriç | Ahmet Adında Bir Çocuk | Öykü |  |  | | 
Sevim Ak | Uçurtmam Bulut Şimdi | Öykü |  |  | (1987) Akademi Kitabevi Öykü Ödülü'nü kazanmıştır. | 
Sevim Ak | Kırık Şemsiye | Öykü |  |  | Çocuk ve Gençlik Yayınları Derneği'nce 2006 yılının en iyi resimli kitabı seçilmiştir. | 
Sevim Ak | Babamın Gözleri Kedi Gözleri | Öykü |  |  |  | 
Sevim Ak | Domates Saçlı Kız | Öykü |  |  |  | 
Sevim Ak | Mahalle Sineması | Öykü |  |  |  | 
Sevim Ak | Vanilya Kokulu Mektuplar | Öykü |  |  |  | 
Sevim Ak | Pembe Kuşa Ne Oldu | Öykü |  |  |  | 
Sevim Ak | Toto ve Şemsiyesi | Öykü |  |  |  | 
Bestami Yazgan | Neşeli Orman Masalları | Masal |  |  | | 
