Köroğlu | Köroğlu Destanı | Destan |  |  | Köroğlu'nun kahramanlıklarını, yiğitliğini ve haksızlığa karşı mücadelesini anlatan, Türk halk edebiyatının en önemli destanlarından biridir. | Asıl adı Ruşen Ali'dir. Babasının Bolu Beyi tarafından kör edilmesi üzerine dağa çıkarak eşkıya olmuş, ancak yiğitliği ve iyilikseverliğiyle halkın gönlünde taht kurmuştur. 16. yüzyıl saz şairlerindendir. Şiirlerinde yiğitçe ve coşkun bir söyleyişle söylenmiş koçaklamalar önemli yer tutar. Aşk ve doğa güzelliklerini ahenkli ve sade bir dille dile getirir. "Tüfek icat oldu, mertlik bozuldu" sözü ona aittir. Er Dorusu içen bir halk ozanıdır, herhangi bir eğitim almamıştır.
Âşık Ömer | Şairname | Şiir (Destan) |  |  | 38 dörtlükten meydana gelen ve tam 105 şairin adının sayıldığı, dönemin edebiyat dünyasına ışık tutan en meşhur eseridir. | 17. yüzyılda yaşamış, Konyalı bir saz şairidir. İlk başta "Adli" mahlasını kullanmış, daha sonra "Ömer" mahlasını benimsemiştir. Gençliğinde birçok yeri gezmiş, savaşlara katılmış; imamlık, hafızlık, dervişlik yapmıştır. Saz şairleri içinde en çok şiir yazan (1500'e yakın) ve en kültürlü kişi olarak bilinir; bu yüzden "üstat" sayılmıştır. Kuvvetli bir Divan edebiyatı etkisi görülür; hece ve aruzla başarılı şiirler yazmıştır. Divan ve Halk şiirini en iyi kaynaştıran şairdir. "Âşıkname" adlı bir şiir kitabı vardır.
Âşık Ömer | Pire Destanı | Destan |  |  | Şairin, mizahi ve yergi unsurları taşıyan destanlarındandır. | 
Âşık Ömer | Hayvan Destanı | Destan |  |  | Şairin, mizahi ve yergi unsurları taşıyan bir diğer destanıdır. | 
Âşık Ömer | Âşıkname | Şiir Kitabı |  |  | Şairin çeşitli konulardaki şiirlerini bir araya getirdiği kitabıdır. | 
Ercişli Emrah | Seherde Uğradım Ben Bir Güzele | Şiir |  |  | Şairin lirik söyleyişinin en güzel örneklerinden biridir. | 17. yüzyılda Van (Erciş) yöresinde yaşamıştır. "Emrah ile Selvihan" adlı ünlü halk hikâyesinin kahramanıdır. Sade bir Türkçeyle lirik şiirler söylemiştir; şiirlerinin tamamı hece vezni iledir. Din, tasavvuf, ezel, ebed gibi kavramlarla hiç ilgilenmemiş, bütünüyle bu dünyanın adamı olmuştur. Şiirlerinde yüksek seviyede bir Türklük bilinci mevcuttur.
Ercişli Emrah | Tutam Yar Elinden Tutam | Şiir |  |  | Aşk ve sevgiliye duyulan özlemi, kavuşma arzusunu dile getiren duygusal bir şiiridir. | 
Ercişli Emrah | Emrah ile Selvihan | Halk Hikâyesi |  |  | Ercişli Emrah'ın da kahramanı olduğu, onun hayatı ve aşkı etrafında şekillenmiş ünlü bir halk hikâyesidir. | 
Gevheri | Şiirler | Şiir |  |  | Aşk, ayrılık, gurbet konularını işleyen; lirik bir söyleyişe sahip, sağlam bir dil zevkinin ürünü olan şiirlerdir. | Asıl adı Mehmet'tir. 17. yüzyılda yaşamış Kırımlı bir halk şairidir. Kâtiplik yaptığı anlaşılan şairin medrese öğrenimi gördüğü düşünülür. Divan edebiyatının etkisiyle şiirlerinde yabancı sözcükler ve mazmunlar görülür, aruzla da şiirler yazmıştır. Ancak asıl şöhretini heceyle söylediği şiirleriyle kazanmıştır. Bir ordu şairi olarak Rumeli'den Arabistan'a kadar birçok yeri gezmiştir. Musikiyle de ilgilenmiş, besteler yapmış ve kendi adıyla anılan bir makam bulmuştur.
Levni | Atalar Sözlüğü | Destan |  |  | Âşıklar arasında atasözlerini nazma çekme geleneğinin ilk örneği kabul edilen, didaktik bir destandır. | 18. yüzyılda yaşamıştır. Edirne'den İstanbul'a gelmiş, Saray Nakışhanesi'nde yetişerek ünlü bir minyatür sanatçısı olmuştur. Hem aruz hem heceyle şiirler yazmış, heceyle yazdıkları daha başarılı olmuştur. Âşıklar arasında atasözlerini nazma çekme geleneğini başlatan kişidir.
Dertli | Telli Saz | Şiir |  |  | Dertli'nin en meşhur eseridir. Sazının tellerine ve onun hayatındaki yerine dair duygusal ve içli bir söyleyişe sahiptir. | Asıl adı İbrahim'dir, 19. yüzyılda Bolu'nun Şahnalar köyünde doğmuştur. Çocukluğunda çobanlık yapmış, gençliğinde gurbete çıkmıştır. İlk ününü 1826'da İstanbul'da bir muammayı çözerek kazanmıştır. Bektaşi olan şair, nefesler söylemiş; aruz ve heceyi başarıyla kullanmıştır. Uzun yıllar Mısır'da kalmış, orada "Lütfi" mahlasını kullanmıştır. "Divan"ı taş baskısıyla birkaç kez basılmıştır. II. Mahmut'un fes kanununu desteklediği için "Fes Şairi" olarak da tanınır.
Dertli | Divan | Şiir Kitabı |  |  | Şairin hem halk hem divan şiiri tarzındaki eserlerini bir araya getiren, taş baskısıyla yayımlanmış şiir kitabıdır. | 
Dadaloğlu | Şiirler (Koşma, Semai, Varsağı, Destan, Koçaklama) | Şiir |  |  | Toroslar'daki göçebe Türkmenlerin yaşamını, iskân politikasına karşı direnişlerini ve yiğitlik duygularını işleyen; sade ve doğal bir Türkçeyle söylenmiş şiirlerdir. "Ferman padişahınsa dağlar bizimdir" dizesiyle ünlüdür. | Asıl adı Veli olan Dadaloğlu, 19. yüzyılda Toroslar'da yaşayan Avşar boyuna mensuptur. Şehir yaşamından uzak yaşadığı için Divan şiirinden hiç etkilenmemiştir. Fırka-i İslahiye ordusuna karşı çıkan göçer Türkmenleri destekleyen şiirler yazmıştır. Koşma, semai, varsağı, destan, koçaklama türlerinde şiirler söylemiş, türkülerinde daha başarılıdır. Dili sade bir halk Türkçesidir. Yiğitçe söyleyişinin yanında duygulu, içli söyleyişi Karacaoğlan'ı ve Köroğlu'nu hatırlatır.
Ruhsati | Şiirler (Koşma, Semai, Aruzlu Şiirler) | Şiir |  |  | Hiciv ustası olarak yazdığı taşlamaları, olaylara ve mistik düşüncelere yer verdiği aruzlu şiirleri ve asıl başarısını gösterdiği heceli koşmalarıdır. | Badeli bir aşıktır. Şiirlerinde Ruhsat Baba, Aşık Ruhsat, Ruhsat ve çoğunlukla Ruhsati mahlaslarını kullanmıştır. Saz çalamayan bir aşık olmasına rağmen birçok aşıkla karşılaşmış ve atışmıştır. Hiciv ustası bir halk ozanıdır. Kendi adıyla anılan bir Aşık Kolu'nun kurucusudur.
Erzurumlu Emrah | Şiirler (Koşma, Semai, Gazel, Murabba, Muhammes) | Şiir |  |  | Heceyle yazdığı koşma ve semaileri ile aruzla yazdığı divan şiiri örneklerini içermektedir. Hece ile yazdıkları daha başarılı kabul edilir. "Emrah koşması" olarak bilinen tarzı geleneğe kazandırmıştır. | 19. yüzyılda yaşamış Erzurumlu bir saz şairidir. Sanatı ve şiirleri taklit edilen, yetiştirdiği çıraklarıyla "Emrah Âşık Kolu"nu oluşturan, çağının usta âşıklarındandır. Anadolu'nun birçok yerini gezmiştir. Saz şairleri içinde Divan şiirini en iyi bilen şairdir. Heceyle yazdığı koşma ve semaileri yanında aruzla yazdığı gazel, murabba ve muhammesleri de vardır.
Seyrani | Senihat-ı Seyrani | Şiir Kitabı |  |  | Şiirlerinin Ahmet Haşim tarafından derlenip toplandığı kitaptır. Koşma, nefes, destan, semai, devriye tarzındaki eserlerini içerir. | 19. yüzyılda Kayseri'nin Develi ilçesinde doğmuştur. Asıl adı Mehmet'tir. Badeli bir aşıktır; rüyasında gördüğü dervişlerin etkisiyle Seyrani adını almıştır. İstanbul'a gelmiş, devrin büyüklerini pervasızca hicvettiği için kovulmuş ve "Deli Seyrani" olarak anılmıştır. Yergi ve mizah şiirimizin en başarılı örneklerini vermiş; dönemindeki aksaklıkları, yöneticileri ve ham sofuları acımasızca eleştirmiştir.
Bayburtlu Zihni | Sergüzeşt-name | Mesnevi |  |  | Divan edebiyatı etkisiyle yazdığı, başından geçen olayları anlattığı mesnevi türündeki eseridir. | Medrese öğrenimi görmüş, divan kâtipliği yapmış, değişik memuriyetlerde bulunmuştur. Asıl ününü hece ile yazdığı yergi ve taşlama türündeki âşık tarzı şiirleriyle kazanmıştır. Divan edebiyatından etkilenerek kaside, gazel ve tahmisler de yazmıştır. "Eşek Destanı" adlı eseriyle bilinir.
Bayburtlu Zihni | Eşek Destanı | Destan (Hiciv) |  |  | Hiciv ve mizah yüklü, toplumsal eleştiriyi hayvan sembolizmi üzerinden yapan en bilinen eseridir. | 
Bayburtlu Zihni | Kitab-ı Hikaye-i Garibe | Mesnevi (Nazım-Nesir Karışık) |  |  | Şairin nazım ve nesir karışık olarak kaleme aldığı bir diğer eseridir. | 
Bayburtlu Zihni | Divan | Şiir Kitabı |  |  | Hem hece hem aruzla yazdığı şiirlerini topladığı divanıdır. | 
Tokatlı Nuri | Şiirler | Şiir |  |  | Erzurumlu Emrah'ın etkisinde kalarak yazdığı, aruz denemeleriyle birlikte asıl başarısını hece ölçüsünde gösterdiği şiirleridir. | Alevi-Bektaşi geleneği içinde yetişmiş bir ozandır. Erzurumlu Emrah'ın etkisinde kalarak onun kolunu devam ettirmiştir. Adına düzenlenmiş bir divanı bulunmaktadır. Badeli bir aşıktır.
Ceyhuni | Şiirler | Şiir |  |  | İyi bir saz ustası olan şairin, 12 telli çöğür eşliğinde söylediği, gür ve davudi sesiyle herkesi hayran bırakan şiirleridir. | Asıl adı Çördük oğlu Ömer'dir. 1847'de Zile'de doğmuştur. İyi bir saz ustasıdır, 12 telli çöğür çalar ve davudi bir sese sahiptir. Aşık Nuri'nin çıraklığını yaparak Erzurumlu Emrah kolunu devam ettirmiştir. Badeli bir aşıktır.
Gedai | Şiirler | Şiir |  |  | Aruz ve heceyi başarıyla kullandığı, dinî-tasavvufi izler taşıyan şiirleridir. Özellikle Kerbela ve Hz. Hüseyin için yazdığı aruz ölçülü mersiyeleri meşhurdur. | Aslen Tokatlıdır ancak ömrünün büyük kısmını İstanbul Beşiktaş'ta geçirdiği için "Beşiktaşlı Gedâî" olarak şöhret bulmuştur. Bektaşiliğe intisap etmiş ve şiirlerinde dinî-tasavvufi izler yaygındır. Edebî şahsiyetinin oluşumunda Emrah'ın tesiri vardır ve onun çırakları arasında sayılır.
Türabi | Şiirler | Şiir |  |  | Hece ve daha çok aruzla yazdığı, Bektaşilik ve Hurufilik etkilerinin görüldüğü, dinî-tasavvufi içerikli şiirlerdir. | Asıl adı Ali'dir. 19. yüzyılın en meşhur Bektaşî şairlerindendir. Kırşehir'de Bektaşî tekkesi Dedebabalığı'nda bulunmuştur. Şiirlerini hece ve daha çok aruz vezni ile yazmıştır. Bazı şiirlerinde Hurufîlik temayülü de görülür. Badeli bir aşıktır.
Sümmani | Deprem Destanı | Destan |  |  | Yaşadığı dönemde meydana gelen büyük bir deprem felaketini ve onun toplum üzerindeki yıkıcı etkilerini anlatan destanıdır. | 19. yüzyılda yaşamıştır. Rüyasında gördüğü hayalindeki sevgilisi Gülperi'yi bulmak için diyar diyar dolaştığı anlatılır. Toplumsal acıları (deprem, yangın, sel) dile getirmiş; koşma ve semailerinde aşkı ve doğa güzelliğini işlemiştir. Aşık Kolu bulunan bir halk ozanıdır. Badeli bir aşıktır.
Aşık Şenlik | 93 Koçaklaması | Şiir (Koçaklama) |  |  | Osmanlı-Rus Savaşı (93 Harbi) esnasında söylediği, "can sağ iken yurt vermeniz düşmana" mısrasıyla meşhur olan, yurt savunmasının temel felsefesini özetleyen kahramanlık şiiridir. | Doğu Anadolu ve Azerbaycan bölgesinin ünlü halk ozanıdır. Osmanlı-Rus Savaşı sırasında halk-toplum önderliği yapmıştır. Selman Bey, Latif Şah ve Sevdakar Şah gibi hikâyeleri günümüze kazandırmıştır. 1913'te Revan'da rakip şairler tarafından zehirlenerek öldürülmüştür. Badeli bir aşıktır.
Aşık Şenlik | Selman Bey Hikâyesi | Halk Hikâyesi |  |  | Şairin tasnif edip anlattığı, günümüze kazandırdığı halk hikâyelerindendir. | 
Aşık Şenlik | Latif Şah Hikâyesi | Halk Hikâyesi |  |  | Şairin tasnif edip anlattığı bir diğer halk hikâyesidir. | 
Kağızmanlı Hıfzı | Sefil Baykuş | Şiir (Ağıt) |  |  | Eşi için yazdığı, derin bir acı ve özlem yüklü, en bilinen ağıtlarından biridir. | Medrese eğitimi görmüştür. Koşma, semai, destan türlerinde şiirler söylemiştir. En ünlü şiiri, genç yaşta ölen amcasının kızı Ziyade için yazdığı ağıttır. Gerçekçi bir söyleyişi, yalın bir dili vardır. Şiirlerinde yaşadığı olayları ve tabiatı konu edinmiştir.
Aşık Reyhani | Şu Tepenin Arkasında | Şiir |  |  | Şairin en bilinen ve sevilen türkülerinden biridir. | Küçük yaşlarda köyüne gelen aşıklardan etkilenerek birçok halk hikâyesi öğrenmiştir. 18 yaşından sonra şiir yazmaya başlamıştır. Rüyasında gördüğü bir kıza aşık olup kaçırmış, ancak evliliği yürümeyince "Dertli" mahlasıyla şiirler yazmaya başlamıştır. Daha sonra Bayburtlu Aşık Hicrani tarafından kendisine "Reyhani" mahlası verilmiştir. ABD'de Michigan Üniversitesi'nde katıldığı bir konferanstan sonra fahri öğretmenlik unvanı verilmiştir.
Aşık Reyhani | Alvarlı Reyhani | Şiir |  |  | Şairin bir diğer ünlü eseridir. | 
Aşık Reyhani | Böyle Bağlar | Şiir |  |  | Şairin sevilen eserlerindendir. | 
Aşık Reyhani | Kervan | Şiir |  |  | Şairin sevilen eserlerindendir. | 
Âşık Veysel Şatıroğlu | Benim Sadık Yarim Kara Topraktır | Şiir |  |  | Şairin doğaya ve toprağa duyduğu derin sevgiyi, sadakati ve vefayı işlediği en ünlü eseridir. | Cumhuriyet dönemi şairlerindendir. Suçiçeği hastalığı yüzünden gözlerini kaybedince babasının aldığı saz ile kendini geliştirmiştir. Yurdu gezip saziyla şiirler söylemiştir. Köy enstitülerinde halk türküleri öğretmenliği yapmıştır. Didaktik şiirlerinin yanında doğa, özlem, aşk konulu şiirleri daha çok ilgi görmüştür. Ahmet Kutsi Tecer tarafından keşfedilmiştir. UNESCO tarafından 2023 yılı "Aşık Veysel Yılı" ilan edilmiştir.
Âşık Veysel Şatıroğlu | Dostlar Beni Hatırlasın | Şiir |  |  | Ölümden sonra unutulmama arzusunu, dostluğun ve hatırlanmanın önemini işleyen duygulu bir şiiridir. | 
Âşık Veysel Şatıroğlu | Uzun İnce Bir Yoldayım | Şiir |  |  | Hayatı bir yolculuğa benzeten, insanın dünyadaki varoluş serüvenini bilgece bir bakış açısıyla anlatan en popüler eserlerindendir. | 
Âşık Veysel Şatıroğlu | Ne Ötersin Dertli Bülbül | Şiir |  |  | Dert ve keder temalarını işlediği ünlü bir şiiridir. | 
Âşık Veysel Şatıroğlu | Küçük Dünyam | Şiir |  |  | Şairin kendi iç dünyasını ve hayata bakışını yansıtan eseridir. | 
Neşet Ertaş | Türküler ve Bozlaklar | Müzik/Şiir |  | 2009 UNESCO Yaşayan İnsan Hazinesi ödülü. | Babası Muharrem Ertaş'tan devraldığı Türkmen-Abdal müzik ve bozlak geleneğini ülke geneline ve yurt dışına tanıtan sayısız eserdir. "Garip" mahlasını kullanmış, kendi şiirlerini havalandırıp seslendirmiştir. | Kırşehir'de doğdu. Babası, Türkmen-Abdal müzik geleneğinin üstadı Muharrem Ertaş'tır. Bozlak geleneğini devam ettirerek yöresel müziği tüm Türkiye'ye ve dünyaya tanıtmıştır. "Garip" mahlasını kullanmıştır. 2009'da UNESCO'nun Yaşayan İnsan Hazinesi ödülüne layık görülmüştür. 2002'de kendisine teklif edilen Devlet Sanatçılığı unvanını kabul etmemiştir.
Abdurrahim Karakoç | Mihriban | Şiir |  |  | Şairin en bilinen aşk şiiridir. Hece ölçüsüyle yazılmış, halk dilinin tüm sıcaklığını taşıyan bu eser, türkü formunda da bestelenerek geniş kitlelere ulaşmıştır. | Hece ölçüsünü ustalıkla kullanan usta bir şairdir. Sosyal konuları, İslam'ı, gurbeti şiirlerinde işlemiştir. Serbest tarzda söylediği şiirler de vardır. Şiirlerinde halk diline ait kelime ve deyimler, şive taklitleri görülür. Taşlamaları da çok ünlüdür.
Abdurrahim Karakoç | Hasan'a Mektuplar | Şiir |  |  | Halk şiiri geleneğinde yazdığı, dostluk ve hasret temalı şiirlerini içeren kitabıdır. | 
Abdurrahim Karakoç | Beşinci Mevsim | Şiir |  |  | Şairin değişik konulardaki şiirlerini bir araya getiren kitabıdır. | 
Abdurrahim Karakoç | Vur Emri | Şiir |  |  | Toplumsal ve siyasal eleştirilerin yoğun olduğu şiirlerini içeren kitabıdır. | 
Abdurrahim Karakoç | Yağmur Yerden Yağar | Şiir |  |  | Şairin farklı ve derin bakış açısını yansıtan şiirlerinden biridir. | 
Şeref Taşlıova | Gönül Bahçesi | Şiir |  | UNESCO Yaşayan İnsan Hazinesi ödülü. | Şairin çeşitli konulardaki şiirlerini topladığı eseridir. | 1938-2014 yılları arasında yaşamış, Ardahan doğumlu usta bir halk ozanıdır. UNESCO tarafından 'Yaşayan İnsan Hazinesi' seçilmiştir. Binlerce şiiri ve onlarca halk hikayesi tasnifi bulunmaktadır. Aşık makamlarını en iyi bilen ozanlardan biridir.
Şeref Taşlıova | Güzel Görünür | Şiir |  |  | Doğanın ve insanın güzelliğini lirik bir dille anlattığı ünlü bir şiiridir. | 1938-2014 yılları arasında yaşamış, Ardahan doğumlu usta bir halk ozanıdır. UNESCO tarafından 'Yaşayan İnsan Hazinesi' seçilmiştir. Binlerce şiiri ve onlarca halk hikayesi tasnifi bulunmaktadır. Aşık makamlarını en iyi bilen ozanlardan biridir.
Murat Çobanoğlu | Kiziroğlu | Şiir / Türkü |  |  | Halk arasında çok sevilen "Kiziroğlu" türküsünü derleyip tanıtarak Türk halk müziği repertuarına kazandırmıştır. | Kars'ta aşıklar kahvesi işletmiştir. Babası, Kars'ın usta aşıklarından Aşık Gülistan'dır. Üç bine yakın şiiri ve ünlü aşıklarla yaptığı atışmaları vardır. Badeli bir aşıktır.
Âşık Feymani (Osman Taşkaya) | Ahu Gözlim | Şiir Kitabı |  | "Halk Şiirleri Arası Eser Yarışması"nda mansiyon ödülü almıştır. | Aşk ve güzellik temalarını işleyen, şairin en bilinen ve ödüllü şiir kitabıdır. | Adana'da çiftçilik yapmaktadır. Hem saz çalan hem de şiirler yazan bir halk şairidir. Tasavvuf şiirleri de yazmıştır. Atışmaları başarılı ve öğretici niteliktedir. Şiirlerinde tabiat ve orman sevgisinin ayrı bir yeri vardır. Sağlığında adına şenlikler düzenlenen ilk aşık olma özelliğine sahiptir.
Âşık Mahzuni Şerif | Dom Dom Kurşunu | Şiir / Türkü |  |  | Savaş karşıtı söylemiyle öne çıkan, toplumsal acıları ve ölümü sert bir dille eleştiren en bilinen eserlerindendir. | Halk şairi ve bestecidir. Bektaşî kültürünün dünyaya tanıtılmasında önemli bir rol oynamıştır. Eserlerinde toplumsal eleştiri, sevda ve insanlık temalarını işlemiştir. "Yedin Beni", "Yuh Yuh", "Fadimem", "Gül Yüzlüm", "Ciğerparem", "Merdo", "Dostum Dostum", "Han Sarhoş Hançı Sarhoş", "Çeşmi Siyahım" gibi çok sayıda eseri halk türküsü olarak geniş kitlelerce benimsenmiştir.
Âşık Mahzuni Şerif | Yuh Yuh | Şiir / Türkü |  |  | Toplumdaki yozlaşmayı, adaletsizliği ve riyakarlığı ağır bir dille hicveden protest bir eseridir. | 
Âşık Mahzuni Şerif | Fadimem | Şiir / Türkü |  |  | Sevda ve gurbet temalı, içli bir türküdür. | 
Talip Coşkun | Ankara Destanı | Destan |  |  | Ankara'nın tarihi, kültürü ve Cumhuriyet dönemindeki önemi üzerine söylediği destandır. | Asıl adı Hacı Bektaş Coşkun'dur, 1898'de Sivas'ta doğmuştur. I. Dünya Savaşı'nda yetim kalınca çobanlık yapmış, birçok kenti dolaşarak okul ve askeri birlikleri gezmiş, şiirlerini okuyup destan kitapçıkları satarak hayatını kazanmıştır. Keklik Emine ile olan aşkı şiirlerine konu olmuştur. Mizah ve hiciv şiirleri de yazmıştır.
Talip Coşkun | Samsun Destanı | Destan |  |  | Samsun şehri ve Atatürk'ün Samsun'a çıkışının milli mücadeledeki yerini anlattığı destanıdır. | 
Talip Coşkun | Kıbrıs Destanı | Destan |  |  | Kıbrıs meselesi ve Kıbrıs Türklerinin durumu hakkında söylediği destandır. | 
Talip Coşkun | Felek Yarası | Şiir |  |  | Hayatın acımasızlığı ve çektiği çileler karşısındaki isyanını dile getiren şiiridir. | 
Talip Coşkun | Seher Yeli Gibi | Şiir |  |  | Doğa ve aşk temalı, lirik söyleyişe sahip bir şiiridir. | 
Ali İzzet Özkan | Mecnunum Leylamı Gördüm | Şiir / Türkü |  |  | Aşkı ve sevgiliye duyulan özlemi konu alan, plak kaydıyla da geniş kitlelere ulaşarak şairin asıl ününü sağlayan en meşhur türküsüdür. | Sivaslı Aşık Sabri'den ders alarak çıraklık geleneğine göre yetişmiştir. 1924 yılında Hacı Bektaş Dergâhı'na girerek burada "İzzetî" mahlasını almıştır. Plak kayıtlarıyla (Mecnunum Leylamı Gördüm, Şu Sazıma Düzen Ver, Mühür Gözlüm) büyük üne kavuşmuştur. Şiirlerinden bazıları Ülkü dergisinde yayımlanmıştır.
Ali İzzet Özkan | Şu Sazıma Düzen Ver | Şiir / Türkü |  |  | Şairin sazıyla olan derin bağını ve iç dünyasını anlattığı, plağa okunmuş ünlü bir türküsüdür. | 
Ali İzzet Özkan | Mühür Gözlüm | Şiir / Türkü |  |  | Sevda ve güzellik temalı, plağa okunmuş bir diğer ünlü eseridir. | 
