Goethe | Faust | Tiyatro / Dram |  | - | Kendini birçok alanda iyi yetiştirmiş bir doktor olan Faust'un öyküsüdür. Şeytanı temsil eden Mefistoteles, Faust'u yoldan çıkarma konusunda Tanrı'yla bir iddiaya girer. Faust'un üstün iradesi Şeytan'ı alt eder. İnsan ve Şeytan mücadelesini konu alan felsefi bir eserdir. Yazılması bir ömre yayılmıştır. Konusunu "şeytanla bahse giren insanoğlu" temasından alır. | Goethe (Wolfgang Goethe) (18-19. yy), Romantik bir sanatçıdır. Şiir, roman ve tiyatro alanında eserler verir. Müslümanlığa olan ilgisini Doğu-Batı Divanı'na yansıtmıştır. Alman edebiyatının kurucularından kabul edilir. Hasan Âli Yücel, "Goethe: Bir Dehanın Romanı" adlı biyografik romanı yazmıştır.
Hermann Hesse | Boncuk Oyunu | Roman |  | - | Ütopik bir düzende entelektüel bir oyun etrafında şekillenen, yazarın başyapıtı kabul edilen romanıdır. | -
Hermann Hesse | Narziss ve Goldmund | Roman |  | - | İki zıt karakterin (düşünce adamı ve duygu adamı) dostluğunu ve yaşam arayışlarını anlatır. | -
Hermann Hesse | Çarklar Arasında | Roman |  | - | Eğitim sisteminin katılığını ve bir gencin bu sistem içinde ezilişini anlatır. | -
Stefan Zweig | Satranç | Roman / Uzun Hikâye |  | - | Gerek pratik gerekse de felsefi olarak satrancı çözümlemeye çalışmıştır. Nazi işgali altındaki Avrupa'da geçer. | Stefan Zweig (20. yy), roman, öykü, tiyatro ve biyografi yazarıdır. Özellikle Batı edebiyatının önde gelen yazarları hakkında yazdığı biyografileriyle dikkati çekmiştir. Avusturya doğumludur, savaş yıllarında Brezilya'da yaşamıştır.
Stefan Zweig | Bilinmeyen Bir Kadının Mektupları | Uzun Hikâye |  | - | Bir kadının hayatı boyunca sevdiği ama hiç tanımadığı bir yazara yazdığı mektubu konu alır. | -
Stefan Zweig | Üç Büyük Usta: Balzac, Dickens, Dostoyevski | Biyografi / İnceleme |  | - | Üç büyük romancının hayatı ve eserleri üzerine yazdığı biyografik incelemedir. | -
Stefan Zweig | Olağanüstü Bir Gece | Uzun Hikâye |  | - | Bir burjuvanın bir gecede yaşadığı ruhsal dönüşümü anlatır. | -
Robert Musil | Niteliksiz Adam | Roman |  | - | 20. yüzyılın en önemli romanlarından biridir. Avusturya-Macaristan İmparatorluğu'nun çöküş sürecinde modernizm sürecindeki bir toplumun ve bireyin tüm çalkantılarını sergilemeyi amaçlar. Romanın başkişisi Ulrich, "niteliksiz adam"dır; eski ile yeni arasında sıkışmışlığı simgeler. James Joyce'un Ulysses'i ve Proust'un Kayıp Zamanın İzinde'siyle birlikte modern romanın zirvesini oluşturur. | Robert Musil (1880-1942), Avusturyalı romancı, hikâyeci ve deneme yazarıdır. 20. yüzyılın en önemli romancılarındandır.
Wilhelm Grimm (Grimm Kardeşler) | Çocuk ve Ev Halkına Masallar (Çocuk ve Ek Masalları) | Masal |  | - | Almanya'da köy köy, kasaba kasaba dolaşarak derlenen eski Alman şiirleri, efsaneleri ve masalları edebî bir üslupla yeniden yazılmıştır. Bremen Mızıkacıları, Parmak Çocuk, Hansel ve Gratel bu masallardan bazılarıdır. 1856 yılında yayımlanan kitabın ön sözünde masalların kaynağı konusunda teoriler ileri sürülmüştür. | Grimm Kardeşler (Wilhelm ve Jacob Grimm) (18-19. yy), Alman masal derleyicileridir. Masalın içeriği, biçimi, kaynağı ve yayılışı ile ilgili teorilerin öncülerindendirler. Alman dil bilimi ve halkbilimi çalışmalarına büyük katkıları olmuştur.
Günter Grass | Teneke Trampet | Roman |  | Nobel Edebiyat Ödülü (1999) | Büyümeyi reddeden cüce Oskar'ın gözünden Nazi dönemi ve sonrası Almanya'sının eleştirel bir anlatımıdır. Danzig Üçlemesi'nin ilk halkasıdır. | Günter Grass (20. yy), II. Dünya Savaşı sonrası Alman edebiyatının önde gelen isimlerindendir. Özellikle Almanya'nın savaş suçu, hafıza ve kimlik meselelerini ısrarla irdeleyen bir yazardır. 1999 Nobel Edebiyat Ödülü'nü almıştır.
Günter Grass | Kedi ve Fare | Roman |  | - | Danzig Üçlemesi'nin ikinci halkasıdır. | -
Günter Grass | Köpek Yılları | Roman |  | - | Danzig Üçlemesi'nin üçüncü halkasıdır. | -
Günter Grass | Soğanı Soyarken | Anı / Otobiyografi |  | - | Yazarın otobiyografik yüzleşme metnidir. | -
