Ahmet Yesevi | Divan-ı Hikmet | Şiir |  | 2016 yılı UNESCO tarafından Ahmet Yesevi yılı kabul edilmiştir. | Arapçayı ve Farsçayı çok iyi bilen şairin, dervişlik adabını ve yolunu etrafında toplanan müritlerine (öğrencilerine) öğretebilmek adına, oldukça anlaşılır bir dille yazdığı şiirlerdir. Türk halk edebiyatından alınan dörtlükler ve hece ölçüsüyle basit bir dille yazılan bu şiirlere "hikmet" adı verilmiştir. Eserde ilahi aşkın her şeyin esası olduğu görüşü dikkat çekmektedir. | Türkler arasında ilk tarikat kurucusu ve aynı zamanda yaşadığı dönemde halkın üzerinde derin izler bırakmış olan ilk sufidir. Kurduğu Yeseviye tarikatıyla birlikte tasavvufi düşüncelerin ve İslamiyet'in Orta Asya Türk boyları arasında gelişmesini ve yayılmasını sağlamış çok önemli bir şahsiyettir. Sünni-Hanefi inancına sahip olan Ahmet Yesevi'nin eserlerinde Hz. Muhammed'in sünnetine bağlılık düşüncesinin temelini oluşturur; tasavvufi anlayışı Kur'an ve sünnete tamamıyla uygundur.
Gülşehri | Feleknâme | Şiir |  |  | Yazarın diğer ünlü eseridir. Bu eseri İlhanlı hükümdarlarından Gazan Han'a sunmuştur. | 
Kul Mesut | Süheyl ü Nevbahâr | Şiir |  |  | Yazarın bilinen iki önemli eserinden biridir. Hoca Mesud'un eserleri, 14. yüzyıl Türkçesi'nin kelime hazinesi ve gramer yapısı açısından büyük öneme sahiptir. | 14. yüzyılın ortalarında yaşamış önemli bir Türk şair ve tercümanıdır. Döneminde kullanılan deyimler ve atasözlerini nazma geçirerek Türkçe'nin kelime hazinesine çok büyük katkıda bulunmuştur. Dili sade olan şair, Arapça ve Farsça kelimelere eserlerinde oldukça az yer vermiştir.
Kul Mesut | Ferhengnâme-i Sa'dî | Şiir |  |  | Yazarın bilinen diğer önemli eseridir. | 
Kul Mesut | Kelile ve Dimne Tercümesi | Çeviri |  |  | Yazarın Kelile ve Dimne üzerine yaptığı tercüme çalışmasıdır. | 
Yunus Emre | Divan | Şiir |  | 1991 yılı Yunus Emre adına UNESCO tarafından SEVGİ YILI ilan edildi. 2021 Yılı ise "Yunus Emre ve Türkçe Yılı" Olarak İlan Edildi. | Şiirleri bu Divan'da toplanmıştır. Şiirlerinde hoşgörü ve sevgiyle yoğrulmuş bir dinsel temel üzerinde Allah aşkı, ilmin önemi, insan sevgisi, dünyanın geçiciliği, varlık, yokluk, yaşam ve ölüm gibi temaları işlemiştir. Kullandığı Türkçe, işlediği temalar, şiirindeki sadelik ve yalınlık, onun ne denli büyük bir şair olduğunu ispat etmeye yeter. | İyi bir eğitim görmüş büyük bir Anadolu Mutasavvufudur. Taptuk Emre'nin dergâhında tasavvuf terbiyesinden geçmiş, halkı aydınlatmak amacıyla diyar diyar dolaşmıştır. İslam tasavvufunu Türk geleneksel kültür zevki ve yapısına göre yeniden yorumlamış; vahdet-i vücut gibi karmaşık bir metafizik sistemi kolay anlaşılır bir tasavvuf söylemiyle Türk halkına sunmuştur. Edebiyatta "Sehl-i mümteni" denilen çok kolay görünüp benzerinin yazılması çok güç olan bir üsluba sahiptir. 13.yüzyılda hümanizmin müjdecisi olmuş ve "Yaratılanı sev, yaratandan ötürü" anlayışını benimsemiştir.
Yunus Emre | Risaletü'n-Nushiyye | Mesnevi |  |  | Yazarın kaleme aldığı mesnevi nazım biçimindeki eseridir. | 
Hacı Bektaş-ı Veli | Makalat | Tasavvufi Eser |  | 2021 yılı Hacı Bektaş-ı Veli yılı ilan edildi. | Bilinen en önemli yapıtıdır. Sohbetler, sözler anlamına gelen yapıt, Ahmet Yesevi'nin Fakirname adlı yapıtının açıklaması gibidir. Tasavvuf konusunda yazılmış ayrı ayrı bölümler halindedir. Kısa hikâye ve nüktelerle Allah aşkı ve coşkusu anlatılmıştır. Arapça yazılan eser tercüme edilerek uzun yıllar Bektaşi tekkelerinde okutulmuştur. Eserin ana konusu Alevi-Bektaşi inancındaki "dört kapı kırk makam" (şeriat, tarikat, marifet, hakikat) sistemidir. | 13. yüzyılda yaşamış ünlü bir Türk mutasavvıfıdır. Türkistan'ın Nişabur kentinde dünyaya gelmiş, birçok mutasavvıftan ders alarak çok iyi bir eğitim görmüştür. Türkistan'ın büyük şeyhi Ahmet Yesevi'nin işaretiyle Anadolu'ya gelmiş, pek çok derviş yetiştirmiştir. "Kadınları okutunuz" sözü ile akla, mantığa ve sevgi temeline dayandıran, kadın ve erkek eşitliğini savunan, Hatun Ana (Kadıncık Ana) önderliğinde kurulan Anadolu Bacıları teşkilatına büyük destek veren aydın bir düşünce adamıdır. Susam yaprağı üzerinde namaz kılma, hayvanlara hükmetme, aslanları taşa çevirme, hamuru çoğaltma, ölüyü diriltme gibi pek çok kerameti olduğu anlatılır.
Hacı Bektaş-ı Veli | Kitab'ül- Fevaid (Fevaidname) | Tasavvufi Eser |  |  | Hacı Bektaş Veli ile Ahmed Yesevi'nin konuşmalarından oluşmuş tasavvufi bir eserdir. | 
Hacı Bektaş-ı Veli | Fatiha Suresi Tefsiri | Tefsir |  |  | Yazarın tefsir türündeki eseridir. | 
Hacı Bektaş-ı Veli | Besmele Şerhi | Şerh |  |  | Yazarın şerh türündeki eseridir. | 
Hacı Bektaş-ı Veli | Hadisi Erbain Şerhi | Şerh |  |  | Yazarın şerh türündeki eseridir. | 
Balım Sultan | Nefesler | Şiir |  |  | Bektaşi töre ve erkanı üzerine söylenmiş, tarikatın inanç esaslarını içeren manzumelerdir. | Türkmen ve Tasavvuf âlimi olup, Alevî Pîri ve Horasanlı Türkmen Şeyhi Hacı Bektâş Velî'den sonraki ikinci Pîri'dir. Anadoluya Türk-İslam'ı yaymaya görevlendirilen Hacı Bektâş Velî ile birlikte Anadolu'ya gelen 90.000 Alevî Türkmen Horasan Erenlerinin soyuna mensuptur. Hacı Bektaş Velî'den sonra ikinci Pîr (Pîr-i Sânî), yani Şia-î Batınîyye (Tasavvufî) âlimi bir Rehber ve Önder olarak kabul edilir. Balım Sultan'ın getirdiği yeni usullerin en önemlileri Dedebabalık, evlenmemiş ("mücerret") babalık kurumu ve "mengüç"tür. Ayrıca İbahilik, teslis (üçleme), tenasüh ve hülul anlayışları da onunla birlikte Alevî-Bektaşîliğe girmiştir.
Hacı Bayramı Veli (Numan) | Nutuk | Şiir |  |  | Hece ölçüsüyle yazdığı şiirlerini topladığı eseridir. | Asıl adı Numan'dır, lakabı Hacı Bayram'dır. 1352'de doğmuş, 1429'da Ankara'da vefât etmiştir. İstanbul'u Fâtih Sultan Mehmed Han'ın fethedeceğini müjdeleyen büyük velîdir. Küçük yaşından itibaren ilim tahsiline başlamış, Ankara'da ve Bursa'da bulunan âlimlerin derslerine katılarak din ilimlerinde ve o zamanın fen ilimlerinde yetişmiştir. Müderrislik yapmış, Ankara'da dinin emir ve yasaklarını insanlara anlatıp onları irşad ederek Bayramiye tarikatını kurmuştur.
Eşrefoğlu Rumi | Müzekki'n Nüfus | Tasavvufi Eser |  |  | Tasavvuf ilkelerini ve nefsi terbiye etme yollarını öğreten oldukça önemli bir eserdir. | 15. yüzyıl tasavvuf şairlerindendir. Hacı Bayram Veli'ye derviş ve damat olmuştur. Eşrefiyye tarikatının kurucusudur. Şiir anlayışında Yunus Emre'nin izinde yürümüş, hem aruz hem de heceyle şiirler yazmıştır.
Eşrefoğlu Rumi | Eşrefoğlu Divanı | Şiir |  |  | Bir divanda topladığı şiirlerinde tasavvuf ilkelerini yaymaya çalışmıştır. | 
Abdal Musa | Abdal Musa Sultan Velayetnamesi | Velayetname |  |  | Abdal Musa Sultan'ın kerametleri, kendi adı verilen bu Velayetname'de anlatılır. Eser, günümüz Türkçesi ile Ali Adil Atalay tarafından beşinci kez olarak yayınlanmıştır. Pamuk içine kor halinde bir ateş parçasını koyup Geyikli Baba'ya göndermesi meşhur kerametlerindendir (hayvanata hükmetmenin bitkilere hükmetmekten zor olduğu felsefesi işlenir). | Anadolu'nun ünlü erenlerinden ve ermişlerinden olan Abdal Musa Sultan, 14. yüzyılda yaşamış ünlü bir ozan ve düşünürdür. Elmalı yöresinde kurduğu tekkesinde sayısız kişiyi irşad etmiş ve Alevi-Bektaşi edebiyatının abidelerinden sayılan Kaygusuz Abdal gibi büyük ozanlar yetiştirmiştir.
Kaygusuz Abdal (Gaybi) | Budalanâme | Mensur |  |  | 15. yüzyıl halk nesrinin çok sade örneklerini barındıran mensur (düz yazı) eserdir. | 15. yüzyıl Bektaşi şairlerindendir. Alevi-Bektaşi halk şiirinin kurucusu kabul edilir. Asıl adı Alâaddin'dir ve menkıbelere göre Alanya Beyi'nin oğludur. Elmalı'da Abdal Musa'nın tekkesinde kırk yıl kulluk ettikten sonra bir Bektaşi "ulusu" olarak Kaygusuz Sultan diye adlandırılmıştır. Hece ölçüsünün yanında aruz ölçüsünü de kullanmış, tasavvuf ve Bektaşilik ilkelerini özgür bir düşünce içinde savunmuştur. Nefeslerinin çoğuna gizli, remizli, hiciv-mizah motifli tekerlemeler katarak hem sofularla hem de insanlık kusurlarıyla alay etmiştir.
Kaygusuz Abdal (Gaybi) | Saraynâme | Manzum ve Mensur |  |  | Yazarın manzum ve mensur (şiir ve düz yazı) karışık olarak kaleme aldığı eserlerinden biridir. | 
Kaygusuz Abdal (Gaybi) | Dilküşa | Manzum ve Mensur |  |  | Yazarın manzum ve mensur (şiir ve düz yazı) karışık olarak kaleme aldığı eserlerinden biridir. | 
Kaygusuz Abdal (Gaybi) | Kitabı Miglate | Mensur |  |  | Yazarın mensur (düz yazı) türündeki eserlerindendir. | 
Kaygusuz Abdal (Gaybi) | Vücudname | Mensur |  |  | Yazarın mensur (düz yazı) türündeki eserlerindendir. | 
Kaygusuz Abdal (Gaybi) | Divan | Şiir |  |  | Yazarın manzum (şiir) türündeki eserlerindendir. | 
Kaygusuz Abdal (Gaybi) | Gülistan | Şiir |  |  | Yazarın manzum (şiir) türündeki eserlerindendir. | 
Kaygusuz Abdal (Gaybi) | Mesnevi | Şiir |  |  | Yazarın manzum (şiir) türündeki eserlerindendir. | 
Kaygusuz Abdal (Gaybi) | Baba Kaygusuz | Şiir |  |  | Yazarın manzum (şiir) türündeki eserlerindendir. | 
Kaygusuz Abdal (Gaybi) | Gevhernâme | Şiir |  |  | Yazarın manzum (şiir) türündeki eserlerindendir. | 
Kaygusuz Abdal (Gaybi) | Minbernâme | Şiir |  |  | Yazarın manzum (şiir) türündeki eserlerindendir. | 
Dede Ömer Ruşeni | Divân | Şiir |  |  | Dini ve tasavvufi muhtevalı şiirlerin yer aldığı, çoğunda sade ve akıcı bir üslûbun dikkati çektiği eserdir. | Halveti tarikatına mensup bir mutasavvuftur. Gençlik yıllarında daha çok âşıkane ve hiciv türünde şiirler yazmasına karşılık, tarikata intisap ettikten sonra yazdıkları dinî ve tasavvufî muhtevalı eserlerdir.
Dede Ömer Ruşeni | Çobannâme | Şiir |  |  | Yazarın kaleme aldığı manzum eserlerinden biridir. | 
Dede Ömer Ruşeni | Miskinnâme | Şiir |  |  | Yazarın kaleme aldığı manzum eserlerinden biridir. | 
Dede Ömer Ruşeni | Neynâme | Şiir |  |  | Yazarın kaleme aldığı manzum eserlerinden biridir. | 
Dede Ömer Ruşeni | Kalemnâme | Şiir |  |  | Yazarın kaleme aldığı manzum eserlerinden biridir. | 
Pir Sultan Abdal | Ötme Bülbül Ötme | Şiir |  |  | Şii-Batıni inançlarını coşkun bir lirizmle dile getirdiği, yalın bir dille söylenmiş, ölçülü ve uyaklı koşmalar şeklinde kaleme aldığı şiirlerindendir. | 16. yüzyıl Tekke ve Âşık edebiyatının ünlü şairlerindendir. Asıl adı Koca Haydar'dır. Sivas'ın Banaz köyünde doğduğu, Kanuni döneminde yaşadığı, bir ayaklanmaya katıldığı ve İran şahının propagandasını yaptığı için Hızır Paşa tarafından Sivas'ta astırıldığı bilinmektedir. Divan edebiyatından hiç etkilenmemiş, duygu ve düşüncelerini açık ve sade bir halk söyleyişiyle dile getirmiştir. Alevi - Bektaşi şiirinin en büyük ustalarındandır. Aleviliği yaymak amacıyla yazdığı şiirlerde coşkun bir lirizm vardır ancak derin bir tasavvufa rastlanmaz. Nefesleri çok geniş bir coğrafyada sevilerek okunmuştur.
Pir Sultan Abdal | Kul Olayım Kalem Tutan Ellere | Şiir |  |  | Yazarın en bilinen şiirlerinden biridir. | 
Pir Sultan Abdal | Bin Cefalar Etsen | Şiir |  |  | Yazarın en bilinen şiirlerinden biridir. | 
Pir Sultan Abdal | Ağlama Gözlerim Mevla Kerimdir | Şiir |  |  | Yazarın en bilinen şiirlerinden biridir. | 
Pir Sultan Abdal | Derdim Çoktur Hangisine Yanayım | Şiir |  |  | Yazarın en bilinen şiirlerinden biridir. | 
Pir Sultan Abdal | Gafil Gezme Şaşkın | Şiir |  |  | Yazarın en bilinen şiirlerinden biridir. | 
Pir Sultan Abdal | Geçti Dost Kervanı | Şiir |  |  | Yazarın en bilinen şiirlerinden biridir. | 
Pir Sultan Abdal | Dönen Dönsün | Şiir |  |  | Yazarın en bilinen şiirlerinden biridir. | 
Kul Himmet | Seyyah olup şu alemi gezerim | Şiir |  |  | Nefesler, düvaz imamlar, destanlar ve ağıtlar türünde kaleme aldığı coşkulu deyişlerindendir. | 16'ncı yüzyılın sonlarında Tokat Almus Görümlü köyünde doğdu, 17'nci yüzyılın ilk yarısında öldü. Coşkulu deyişleriyle tanınan ve Hatayi ile Pir Sultan'dan sonra gelen üçüncü büyük Alevi-Bektaşi şairidir. Pir Sultan ile yakın arkadaştı. Mükemmel bir tekke öğrenimi, edebiyat bilgileri, İslam tarihi, evliya menkıbeleri ve tarikat kuralları gibi çağının kültürünü çok iyi öğrenmiştir. Sanat gücü yanında, siyasî girişimleriyle adı etrafında bazı efsanelerin oluşmasına yol açmış güçlü bir mutasavvıf şairdir.
Kul Himmet | Dün gece seyrim içinde | Şiir |  |  | Yazarın bilinen coşkulu deyişlerindendir. | 
Aziz Mahmut Hüdayi | Nefâis-ül-Mecâlis | Şiir / Tasavvufi |  |  | Yalın bir üslupla hikemî içerikte ve ilahi türünde yazılmış tekke şiiri eserlerindendir. Şiirlerinde hem heceyi hem aruzu kullanmıştır. | Tekke edebiyatının 17. yüzyıldaki temsilcilerindendir. Anadolu ve Rumeli'deki görevlerinden sonra geldiği İstanbul'da padişahlara şeyh, halka mürşit olmuş; eserleri, sohbetleri, vaaz ve nasihatleri ile padişahın ve halkın gözünde önemli bir yer kazanmıştır. Devrini idrak ettiği sekiz padişahtan bilhassa Sultan III. Murat ve I. Ahmet'in saygısını kazanmıştır. Üftade'ye talebe olmak için gittiğinde Bursa kadısı olmasına rağmen kibirini kırması için sırmalı kaftanıyla sokaklarda "Ciğerci!" diye bağırarak ciğer satması istenmiş ve bunu tereddütsüz yapmıştır.
Aziz Mahmut Hüdayi | Tecelliyât | Şiir / Tasavvufi |  |  | Yazarın bilinen eserlerindendir. | 
Aziz Mahmut Hüdayi | Dîvân-ı İlâhiyât | Şiir / Tasavvufi |  |  | Yazarın bilinen eserlerindendir. | 
Aziz Mahmut Hüdayi | Habbet-ül- Muhabbe | Şiir / Tasavvufi |  |  | Yazarın bilinen eserlerindendir. | 
Aziz Mahmut Hüdayi | Necât-ül-Garîk | Şiir / Tasavvufi |  |  | Yazarın bilinen eserlerindendir. | 
Aziz Mahmut Hüdayi | Tarîkatnâme | Şiir / Tasavvufi |  |  | Yazarın bilinen eserlerindendir. | 
Aziz Mahmut Hüdayi | Tezâkir-i Hüdâyî | Şiir / Tasavvufi |  |  | Yazarın bilinen eserlerindendir. | 
Niyazi-i Mısrî | Divan | Şiir |  |  | Şiirlerini topladığı eseridir. Aruzla yazdığı şiirlerde Nesimi ve Fuzuli'nin, heceyle yazdıklarında ise Yunus Emre'nin etkisindedir. | 17. yüzyıl tekke edebiyatı şairlerindendir. Malatya'da doğmuş, Mısır'da öğrenim görmüş, Bursa'da bütün imparatorluğa yayılan bir şöhrete ulaşmıştır. Uğradığı iftiralar yüzünden önce Rodos'a, sonra Limni adasına sürülmüştür.
Niyazi-i Mısrî | Mevaidü'l İrfan | Tasavvufi |  |  | Yazarın Divanı dışındaki önemli eserlerindendir. | 
Niyazi-i Mısrî | Risâletü't-Tevhîd | Tasavvufi |  |  | Yazarın tasavvufi eserlerindendir. | 
Niyazi-i Mısrî | Şerh-i Esmâ-i Hüsnâ | Şerh |  |  | Yazarın şerh türündeki eserlerindendir. | 
Niyazi-i Mısrî | Sure-i Yûsuf Tefsiri | Tefsir |  |  | Yazarın tefsir türündeki eserlerindendir. | 
Kazak Abdal | Eşeği Saldım Çayıra | Şiir |  |  | Yerici ve alaycı tutumu, güldürücü diliyle yobazlara, kulaktan dolma bilgilerle bilgin görünmeye çalışan cahillere, ses kalabalığıyla başkalarını susturmaya çalışanlara sataştığı, onların olumsuz yanlarını sergilediği eserdir. Şiirleri açıktır, yoruma gerek duymaz. | Romanya Türklerindendir. 17. yüzyılda yaşadığı sanılan bir Türk halk ozanıdır. Bektaşi menkıbelerine göre; Rus Çarı'nın kızı bir çocuk doğurur fakat çocuk annesini emmez. Deliorman dergahından gelen Demir Baba'nın kerametiyle çocuk süt emer. Demir Baba dergahına verilen ve evlat edinilen bu çocuğa Ahmed adı verilir. Çocuk büyüyünce Balım Sultan'a giderek el alır ve adı Kazak Abdal olur.
Kazak Abdal | Ormanda Büyüyen Orman Azgını | Şiir |  |  | Yazarın alaycı ve yerici bir tutumla yazdığı açık şiirlerinden biridir. | 
Erzurumlu İbrahim Hakkı | Marifetname | Ansiklopedik Eser |  |  | Yaşadığı dönemin bütün bilgilerini kapsayan çok meşhur ansiklopedik eserdir. Dört yüzden fazla kitaptan yararlanarak yazdığı bu eserde güneş sistemini ilk defa anlatmıştır. | 18. yüzyılda Erzurum'a bağlı Hasankale'de doğmuştur. Sürekli dini ve bilimsel konularla ilgilenmiş âlim, bilgin bir zattır. Astronomi, fizik, psikoloji, sosyoloji ve din ile ilgili pek çok bilimsel çalışma yapmıştır. Siirt ilinin Tillo ilçesinde hocası İsmail Fakirullah için ışık düzeneği kurmuştur.
Aşık Kenzi | Dastan-ı Sergüzeşt | Destan |  |  | Meddah tarzı bir gelenekle yaşattığı destan türündeki eserlerinden biridir. | Bektaşi kültürüyle yetişmiş övgü ve yergi ozanıdır. Meddah tarzı bir gelenekle yaşam sürmüş, medrese eğitimi almıştır.
Aşık Kenzi | Kıbrıs Destanı | Destan |  |  | Yazarın bilinen destan çalışmalarındandır. | 
