Ali Canip Yöntem | Geçtiğim Yol | Şiir |  |  | Şairin şiirlerini topladığı kitabıdır. Milli Edebiyat anlayışına uygun sade dilli şiirleri içerir. | Milli Edebiyat akımının öncülerindendir. Genç Kalemler dergisinde yayımladığı yazılarla Yeni Lisan hareketini ve sade Türkçeyi savunmuştur. Aruzdan heceye geçerek sade dille şiirler yazmıştır. Lise edebiyat programlarının düzenlenmesinde çalışmış, ders kitapları hazırlamıştır. Makaleleri ve edebiyat tarihçiliğiyle tanınır. Polemikçi bir kişiliğe sahiptir; Cenap Şahabettin ile edebiyat anlayışı üzerine ünlü tartışmalara girmiştir.
Ziya Gökalp | Kızıl Elma | Şiir |  |  | Türkçülük ve Turan ideallerini coşkulu bir dille işlediği, Milli Edebiyat'ın düşünce dünyasını yansıtan önemli şiir kitabıdır. | Milli Edebiyat'ın düşünce temellerini atan fikir adamı, şair ve ilk Türk sosyologlarındandır. Genç Kalemler dergisinde yayımladığı 'Turan' şiiri ile Turancılık düşüncesini ortaya koymuş, bu hareketin öncüsü olmuştur. Edebiyatı ve şiiri düşüncelerini açıklamada bir araç olarak görmüş; 'Şiir için değil, şuur için' diyerek toplum için sanat anlayışını benimsemiştir. Türkçülük düşüncesini 'Türkçülüğün Esasları' adlı eserinde sistemleştirmiştir. Dil konusunda son derece hassas olan Gökalp, halk diline yerleşmiş yabancı kelimeleri 'Türkçeleşmiş Türkçe' olarak kabul etmiş; 'Güzel dil Türkçe bize, Başka dil gece bize' dizeleriyle ünlü 'Lisan' şiirini yazmıştır.
Ziya Gökalp | Altın Işık | Şiir |  |  | Milli ve manevi değerleri, Türk kültürünün zenginliklerini ve halk masallarını konu alan şiirlerini içerir. | 
Ziya Gökalp | Yeni Hayat | Şiir |  |  | Yeni hayat ve medeniyet anlayışını, modernleşme düşüncesini işlediği, didaktik yönü ağır basan şiirleridir. | 
Ziya Gökalp | Malta Mektupları | Mektup |  |  | Malta sürgününde ailesine yazdığı, sürgün psikolojisini ve eğitim-kültür üzerine düşüncelerini yansıtan mektuplardan oluşur. | 
Ziya Gökalp | Türkçülüğün Esasları | İnceleme / Araştırma |  |  | Türkçülük ve milliyetçilik hareketinin ilkelerini (dil, din, hukuk vb.) sistemli bir biçimde açıkladığı temel eserdir. | 
Ziya Gökalp | Türkleşmek – İslamlaşmak – Muasırlaşmak | Makale / İnceleme |  |  | Milli kimliğin üç temel unsuru olarak Türklüğü, İslamiyet'i ve çağdaşlaşmayı ele alan sentezci bir çalışmadır. | 
Ziya Gökalp | Türk Medeniyeti Tarihi | Araştırma |  |  | Türk medeniyetinin İslamiyet öncesinden başlayarak gelişimini sosyolojik bir bakış açısıyla inceler. | 
Ziya Gökalp | Lisan | Şiir |  |  | Dil konusundaki düşüncelerini, sade Türkçe anlayışını ve 'Türkçeleşmiş Türkçedir' ilkesini dile getirdiği ünlü didaktik şiiridir. | 
Mehmet Emin Yurdakul | Türkçe Şiirler | Şiir |  |  | Şairin 'Cenge Giderken' adlı ünlü şiirinin de yer aldığı, onu 'Milli Şair' unvanına kavuştururan ilk şiir kitabıdır. | Türkçülük düşüncesini benimseyerek ona halkçı bir nitelik kazandırmış, 'Milli Şair' unvanıyla anılmıştır. Edebiyatı, düşüncelerini aktarmada bir araç olarak görmüş ve 'toplum için sanat' anlayışını benimsemiştir. Bütün şiirlerini hece ölçüsüyle yazmış, kişisel duygularına şiirlerinde yer vermemiştir. Hece ölçüsünün uzun kalıplarını kullanarak şiiri düz yazıya yaklaştırmıştır.
Mehmet Emin Yurdakul | Tan Sesleri | Şiir |  |  | Şairin milli duygularla ve halkın acılarını dile getirmek amacıyla kaleme aldığı şiirlerini içeren kitabıdır. | 
Mehmet Emin Yurdakul | Turana Doğru | Şiir |  |  | Tüm Türklerin birliği anlamına gelen Turan ülküsünü coşkulu ve hamasi bir dille işlediği şiir kitabıdır. | 
Mehmet Emin Yurdakul | Ey Türk Uyan | Şiir |  |  | Türk milletine milli bilinç ve bağımsızlık ruhunu aşılamayı amaçlayan, uyandırıcı ve harekete geçirici şiirlerini içerir. | 
Mehmet Emin Yurdakul | Türk Sazı | Şiir |  |  | Halk şiiri geleneğinden ve milli temalardan beslenen, sade bir dille yazılmış şiirlerinin yer aldığı kitabıdır. | 
Mehmet Emin Yurdakul | Ordunun Destanı | Şiir |  |  | Türk ordusunun kahramanlıklarını ve şanlı tarihini destansı bir dille anlattığı, askerlere moral vermeyi amaçlayan kitabıdır. | 
Mehmet Emin Yurdakul | Zafer Yolunda | Şiir |  |  | Milli Mücadele'ye ve kazanılan büyük zaferlere ithaf ettiği coşkulu şiirlerini içerir. | 
Mehmet Fuat Köprülü | Türk Edebiyatında İlk Mutasavvıflar | Araştırma / İnceleme |  |  | Ahmet Yesevi ve Yunus Emre'yi bilimsel bir yöntemle ele alan, tasavvuf edebiyatı araştırmalarında çığır açmış bir eserdir. | Türk edebiyatı ve tarihi alanında ilk bilimsel çalışmaları yapan, dünyaca ünlü bir bilim adamıdır. Önce Fecr-i Âti'de yer almış, sonra Milli Edebiyat topluluğuna katılmıştır. Divan ve halk şairleri üzerinde detaylı incelemeler yapmış; Türk tarihinin ilk dönemlerine kadar inerek ilk Türk topluluklarının tarih ve edebiyatlarını araştırmıştır.
Mehmet Fuat Köprülü | Türk Edebiyatı Tarihi | Araştırma / İnceleme |  |  | Türk edebiyatının başlangıcından itibaren gelişimini bilimsel bir yöntemle ele alan en önemli başvuru kaynağıdır. | 
Mehmet Fuat Köprülü | Türk Saz Şairleri | Araştırma / İnceleme |  |  | Türk halk ve saz şairleri geleneğini tarihsel ve sosyolojik bağlamda inceleyen kapsamlı bir antoloji ve incelemedir. | 
Musahipzade Celal | İstanbul Efendisi | Tiyatro |  |  | Tanzimat sonrası İstanbul'unda değişen insan tiplerini ve batıl inançları hicveden, töre komedisi türündeki ünlü oyunudur. | Osmanlı toplumunda yozlaşan değerleri komedi tarzında hicveden oyunlarıyla tanınır. Sosyal tenkide büyük önem vermiş, bu hicivlerle eserleri daha çok töre komedisi niteliği kazanmıştır. Konularını daha çok Osmanlı tarihinden alır; çeşitli dönemlerdeki sosyal hayatı, töreleri, inançları gülünç yanlarıyla işler.
Musahipzade Celal | Lale Devri | Tiyatro |  |  | Lale Devri'ni konu alan bu oyun, İstanbul'da ilk defa kadınların tiyatroya gelmesini sağlamasıyla tarihi bir öneme sahiptir. | 
Musahipzade Celal | Aynaroz Kadısı | Tiyatro |  |  | Din istismarını ve çıkarcı tipleri hicveden, Osmanlı hukuk sistemindeki aksaklıklara değinen meşhur oyunlarından biridir. | 
Musahipzade Celal | Fermanlı Deli Hazretleri | Tiyatro |  |  | Osmanlı bürokrasisindeki yozlaşmayı ve absürtlükleri güldürü unsuru yaparak eleştiren bir komedidir. | 
Yakup Kadri Karaosmanoğlu | Kiralık Konak | Roman |  |  | Tanzimat'tan Meşrutiyet'e geçiş sürecinde bir ailenin kuşak çatışmasını ve konağın çöküşüyle temsil edilen imparatorluk dağılışını anlatır. | Önce Fecr-i Âti'de, sonra Milli Edebiyat topluluğunda yer almış büyük bir romancıdır. Güçlü bir gözlemciliğe dayanan realizm anlayışıyla karakterleri canlandırmada ustadır. Romanlarında Tanzimat'tan Cumhuriyet'e Türk toplumunun yaşadığı değişimleri panoramik bir şekilde konu edinmiştir.
Yakup Kadri Karaosmanoğlu | Yaban | Roman |  |  | Kurtuluş Savaşı yıllarında Anadolu köyüne giden İstanbullu aydın Ahmet Celal'in yaşadığı halk-aydın çatışmasını anlatan realist bir romandır. | 
Yakup Kadri Karaosmanoğlu | Sodom ve Gomore | Roman |  |  | İşgal yıllarındaki İstanbul'un yozlaşmış çevrelerini ve ahlaki çöküşü kutsal kitaptaki helak olan şehirlere benzeterek anlatır. | 
Yakup Kadri Karaosmanoğlu | Hüküm Gecesi | Roman |  |  | II. Meşrutiyet dönemindeki siyasi çekişmeleri ve İttihat Terakki muhalefet kavgasını gazeteci Ahmet Kerim'in gözünden anlatır. | 
Yakup Kadri Karaosmanoğlu | Ankara | Roman |  |  | Milli Mücadele, Cumhuriyet'in kuruluşu ve sonrası Ankara'yı üç ayrı dönemde idealist bir kadın olan Selma Hanım üzerinden anlatır. | 
Yakup Kadri Karaosmanoğlu | Nur Baba | Roman |  |  | Tekkelerdeki yozlaşmayı ve din istismarını Bektaşi dergahı üzerinden anlatan, yayımlandığı dönemde tartışma yaratan romanıdır. | 
Yakup Kadri Karaosmanoğlu | Panorama I-II | Roman |  |  | Cumhuriyet devrimlerinin topluma yansımasını ve sonrasındaki siyasi-sosyal dönüşümü geniş bir bakış açısıyla sunan nehir romandır. | 
Yakup Kadri Karaosmanoğlu | Bir Sürgün | Roman |  |  | Jön Türkler'den Doktor Hikmet'in Paris'teki sürgün hayatını ve yaşadığı hayal kırıklıklarını konu alır. | 
Yakup Kadri Karaosmanoğlu | Hep O Şarkı | Roman |  |  | Abdülaziz döneminden başlayarak eski İstanbul hayatını ve karşılıksız bir aşkı anlatan, yazarın kronolojik olarak ilk romanıdır. | 
Yakup Kadri Karaosmanoğlu | Erenlerin Bağından | Mensur Şiir |  |  | Tasavvufi ve felsefi bir derinliğe sahip, şiirsel bir dille yazılmış mensur şiirlerini içerir. | 
Yakup Kadri Karaosmanoğlu | Zoraki Diplomat | Anı |  |  | Yazarın diplomatlık yıllarına dair gözlemlerini ve hatıralarını içeren önemli bir anı kitabıdır. | 
Yakup Kadri Karaosmanoğlu | Anamın Kitabı | Anı |  |  | Çocukluk yıllarını, aile çevresini ve o dönemin sosyal hayatını samimi bir dille anlattığı hatıratıdır. | 
Yakup Kadri Karaosmanoğlu | Vatan Yolunda | Anı |  |  | Milli Mücadele yıllarına ait anılarını ve Kurtuluş Savaşı tanıklıklarını içeren eseridir. | 
Halide Edip Adıvar | Sinekli Bakkal | Roman |  |  | II. Abdülhamit dönemi İstanbul'unu bir mahalle üzerinden, Doğu-Batı sentezi ve Rabia karakteriyle anlatan en ünlü eseridir. | Halide Edip, Milli Edebiyat'ın en önemli kadın yazarıdır. İlk romanlarında aşk ve kadın psikolojisini işlemiş, Kurtuluş Savaşı'na aktif katıldıktan sonra milli duygularla cephe romanları yazmıştır. Karakterleri çevrelerine göre konuşturmada başarılıdır.
Halide Edip Adıvar | Ateşten Gömlek | Roman |  |  | Kurtuluş Savaşı üzerine yazılmış ilk romandır. Ayşe ve Peyami'nin aşkı ile vatan sevgisi 'ateşten gömlek' metaforuyla anlatılır. | 
Halide Edip Adıvar | Vurun Kahpeye | Roman |  |  | Anadolu'ya giden idealist öğretmen Aliye'nin, yobazlık ve cehaletle mücadelesini ve trajik sonunu anlatan çarpıcı bir romandır. | 
Halide Edip Adıvar | Handan | Roman |  |  | Mektup biçiminde yazılmış, kadın psikolojisini ve aşk temasını derinlemesine işleyen ilk dönem romanlarındandır. | 
Halide Edip Adıvar | Yeni Turan | Roman |  |  | Türkçülük akımının etkisiyle, yeni bir toplum ve devlet ideali üzerine kurgulanmış bir tezli romandır. | 
Halide Edip Adıvar | Tatarcık | Roman |  |  | Cumhuriyet dönemi değişimlerini, ideal bir Türk kadını olan Lale (Tatarcık) üzerinden anlatan romanıdır. | 
Halide Edip Adıvar | Mor Salkımlı Ev | Anı |  |  | Yazarın çocukluk günlerini ve gençlik yıllarını anlattığı, edebi değeri yüksek olan en ünlü anı kitabıdır. | 
Halide Edip Adıvar | Türk'ün Ateşle İmtihanı | Anı |  |  | Kurtuluş Savaşı anılarını, cephe gerisindeki mücadeleyi ve Mustafa Kemal ile olan hatıralarını içeren eseridir. | 
Müfide Ferit Tek | Aydemir | Roman |  |  | Türk dünyasının birliği ve Turan ülküsünü bir aşk hikâyesiyle harmanlayan, dönemin etkili Türkçü romanıdır. | Milli Mücadele'yi desteklemiş, milliyetçi kimliğiyle öne çıkan bir kadın yazardır. Özellikle 'Aydemir' romanıyla nesilleri milli şuur bakımından derinden etkilemiştir.
Müfide Ferit Tek | Pervaneler | Roman |  |  | Misyoner okullarının Türk gençleri üzerindeki kültürel etkisini eleştiren toplumsal bir romandır. | 
Refik Halit Karay | Memleket Hikâyeleri | Hikâye |  |  | Anadolu insanını ve taşra hayatını ilk kez gerçekçi ve usta bir dille anlatan, Türk hikâyeciliğinde çığır açan eseridir. | Türk edebiyatında Anadolu'yu konu alan hikâyeciliğin öncülerindendir. Güçlü gözlem yeteneği ile olay ve kişileri yansıtmıştır. 'Kirpi' takma adıyla yazdığı hiciv yazılarıyla tanınır.
Refik Halit Karay | Gurbet Hikâyeleri | Hikâye |  |  | Sürgün yıllarında yazdığı, vatan hasreti ve gurbet duygusunu 'Eskici' gibi şaheserlerle anlatan öykü kitabıdır. | 
Refik Halit Karay | İstanbul'un İç Yüzü | Roman |  |  | I. Dünya Savaşı yıllarındaki İstanbul'un ahlaki çöküşünü ve haksız zenginleşen çevreleri anlatan ilk romanıdır. | 
Refik Halit Karay | Sürgün | Roman |  |  | Sürgün hayatının zorluklarını ve dış dünyadaki Türklerin yaşamını anlattığı başarılı bir romanıdır. | 
Refik Halit Karay | Bugünün Saraylısı | Roman |  |  | Cumhuriyet sonrası değişen sosyal sınıfları ve yeni zengin tipini hicveden popüler bir romanıdır. | 
Refik Halit Karay | Kirpinin Dedikleri | Hiciv / Mizah |  |  | 'Kirpi' mahlasıyla yazdığı, dönemin siyasetçilerini ve toplumsal aksaklıkları iğneleyen ünlü mizah kitabıdır. | 
Reşat Nuri Güntekin | Çalıkuşu | Roman |  |  | İdealist öğretmen Feride'nin Anadolu'daki serüvenlerini ve aşkını anlatan, memleket sevgisini aşılayan en ünlü eseridir. | Millî Edebiyat Dönemi'nin en önemli romancılarındandır. Sade bir dil ve canlı diyaloglarla, yurdun çeşitli yerlerindeki insan manzaralarını eserlerinde işlemiştir.
Reşat Nuri Güntekin | Yaprak Dökümü | Roman |  |  | Yanlış Batılılaşma ve ekonomik sıkıntılar sonucu dağılan bir ailenin dramını Ali Rıza Bey ve çocukları üzerinden anlatır. | 
Reşat Nuri Güntekin | Dudaktan Kalbe | Roman |  |  | Lamia ve Hüseyin Kenan arasındaki tutkulu ve trajik aşkı konu alan duygusal bir romandır. | 
Reşat Nuri Güntekin | Yeşil Gece | Roman |  |  | İdealist öğretmen Şahin Bey'in cehaletle ve gericilikle mücadelesini anlatan tezli bir romandır. | 
Reşat Nuri Güntekin | Acımak | Roman |  |  | Zehra öğretmenin babasının günlüğünü okuyarak önyargılarından kurtulmasını ve 'acıma' duygusunu keşfedişini anlatır. | 
Reşat Nuri Güntekin | Miskinler Tekkesi | Roman |  |  | İstanbul'daki dilenciler dünyasını ve toplumsal dayanışma-çöküş temalarını işleyen bir romandır. | 
Reşat Nuri Güntekin | Anadolu Notları | Gezi |  |  | Müfettişlik yıllarında Anadolu'yu gezerken tuttuğu, gözlem gücü yüksek olan gezi yazılarıdır. | 
Falih Rıfkı Atay | Zeytindağı | Anı |  |  | I. Dünya Savaşı'nda Filistin ve Suriye cephelerindeki acı gerçekleri ve Osmanlı'nın çöküşünü anlatan sarsıcı bir anı kitabıdır. | Fıkra, anı ve gezi yazılarıyla tanınan usta bir yazardır. Atatürk'ü en iyi anlatan isimlerden biridir. Batılılaşma ve Cumhuriyet devrimlerinin savunucusudur.
Falih Rıfkı Atay | Çankaya | Anı |  |  | Atatürk'ün hayatı ve Cumhuriyet'in kuruluşu üzerine yazılmış en kapsamlı ve etkileyici anı-inceleme eseridir. | 
Falih Rıfkı Atay | Ateş ve Güneş | Anı |  |  | Suriye ve Filistin cephesine dair anılarını içeren, savaşın yıkıcılığını yansıtan bir eserdir. | 
Falih Rıfkı Atay | Deniz Aşırı | Gezi |  |  | Yazarın Brezilya seyahatini ve Batı dünyasına dair izlenimlerini anlatan gezi yazısıdır. | 
Aka Gündüz | Dikmen Yıldızı | Roman |  |  | Milli Mücadele dönemini coşkulu bir dille anlatan, vatan sevgisini ön plana çıkaran en meşhur romanıdır. | Milli Edebiyat akımının halkçı yazarlarındandır. Eserlerinde genellikle vatanseverlik, kahramanlık ve Anadolu insanını işlemiştir.
Hamdullah Suphi Tanrıöver | Dağ Yolu | Hitabet / Nutuk |  |  | Milli duyguları coşturan, Türk Ocakları'nda ve mitinglerde yaptığı ünlü konuşmalarını içeren eseridir. | Milli Hatip olarak anılır. Türkçülük düşüncesinin yayılmasında ve İstiklal Marşı'nın kabulünde büyük rol oynamıştır.
Yusuf Akçura | Üç Tarz-ı Siyaset | Makale |  |  | Osmanlıcılık, İslamcılık ve Türkçülük akımlarını karşılaştırarak Türkçülüğü savunan, akımın manifestosu sayılan eserdir. | Türkçülük akımının en önemli fikir adamlarından biridir. Tarih çalışmalarıyla milli bilincin inşasına katkıda bulunmuştur.
Rıza Tevfik Bölükbaşı | Serab-ı Ömrüm | Şiir |  |  | Halk şiiri zevkiyle yazdığı, 'Uçun Kuşlar' gibi lirik ve duygusal şiirlerini içeren tek şiir kitabıdır. | Filozof Rıza olarak anılır. Felsefi derinliği halk edebiyatı geleneğiyle birleştiren özgün bir şairdir.
Halide Nusret Zorlutuna | Git Bahar | Şiir |  |  | İstanbul'un işgali üzerine yazdığı, milli kederi ve vatan sevgisini dile getiren en ünlü şiiridir. | Kadın Yazarların Annesi unvanıyla tanınır. Eserlerinde milli duyguları ve Anadolu'yu samimiyetle işlemiştir.
Mithat Cemal Kuntay | Üç İstanbul | Roman |  |  | Abdülhamit, Meşrutiyet ve Mütareke dönemleri İstanbul'unu yozlaşmış karakterler üzerinden anlatan başyapıtıdır. | Vatan sevgisini aruzla işleyen bir şair ve biyografi yazarıdır. Ününü 'Üç İstanbul' romanıyla kazanmıştır.
Yahya Kemal Beyatlı | Kendi Gök Kubbemiz | Şiir |  |  | İstanbul'u, tarihi ve Türk ruhunu mükemmel bir aruzla anlatan, neoklasik şiirin zirve eseridir. | İstanbul Şairi olarak anılır. Klasik Türk şiiriyle Batı şiirini sentezlemiş, aruzu Türkçeye başarıyla uygulamıştır.
Yahya Kemal Beyatlı | Aziz İstanbul | Deneme |  |  | İstanbul'un manevi havasını, tarihini ve kültürünü derin bir hayranlıkla anlatan deneme kitabıdır. | 
Yahya Kemal Beyatlı | Eğil Dağlar | Deneme |  |  | Milli Mücadele yıllarında yazdığı, vatan savunmasını ve umudu aşılayan yazılarını içerir. | 
