Ahmet Haşim | Göl Saatleri | Şiir |  |  | İlk şiir kitabıdır (1921). Şairin olgunluk dönemi eserlerindendir. Akşam, gurup, melankoli temalarını işler. | 
İzzet Melih Devrim | Tezat | Roman |  |  | Pierre Loti ve Halit Ziya'nın övgülerini alan, aşk ve toplumsal farklılıklar üzerine kurgulanmış ünlü romanıdır. | 
İzzet Melih Devrim | Sermet | Roman |  |  | Yazarın bireysel dramları ve duygusal ilişkileri sade bir dille anlattığı romanlarından biridir. | 
İzzet Melih Devrim | Hüzün ve Tebessüm | Hikâye |  |  | Hayatın içindeki acı ve tatlı anların harmanlandığı, duygusal yoğunluğu yüksek öyküleri içerir. | 
İzzet Melih Devrim | Her Güzelliğe Aşık | Hikâye |  |  | Estetik kaygıların ve güzellik arayışının ön planda olduğu, lirik bir anlatıma sahip öykü kitabıdır. | 
Ahmet Rasim | Eşkâl-i Zaman | Fıkra |  |  | İstanbul'un gündelik hayatını, sokaklarını ve insan tiplerini mizahi bir dille anlatan köşe yazılarından oluşur. | 
Ahmet Rasim | Muharrir Bu Ya | Fıkra |  |  | Yazarın basın hayatına ve toplumsal gözlemlerine dair yazılarını içeren usta işi bir fıkra kitabıdır. | 
Ahmet Rasim | Şehir Mektupları | Fıkra / Anı |  |  | II. Abdülhamit dönemi İstanbul'unu bir mektup samimiyetiyle ve keskin bir gözlemle anlatan şaheseridir. | 
Ahmet Rasim | Falaka | Anı |  |  | Mahalle mektebi anılarını ve o dönemdeki eğitim sistemini 'falaka' üzerinden eleştiren ünlü çocukluk hatıratıdır. | 
Ahmet Rasim | Gecelerim | Anı |  |  | Yazarın çocukluk ve gençlik yıllarına ait hüzünlü ve neşeli anılarını içeren samimi bir eserdir. | 
Ahmet Rasim | İlk Sevgi | Roman |  |  | Evli bir kadının gençlik aşkıyla karşılaşması sonucu yaşadığı ahlaki sarsıntıları ve aile dramını konu alan romanıdır. | 
Ahmet Rasim | Askeroğlu | Roman |  |  | Savaş yıllarında cepheye giden bir askerin ailesinin yaşadığı özlem ve sıkıntıları anlatan duygusal bir eserdir. | 
Ahmet Rasim | Tecrübesiz Aşk | Roman |  |  | Hayat tecrübesi olmayan bir gencin, kötü niyetli kişilerce kandırılmasını ve yaşadığı talihsizlikleri anlatan bir romandır. | 
Hüseyin Rahmi Gürpınar | Şık | Roman |  |  | Yanlış Batılılaşmayı ve alafrangalık özentisi içindeki Şatırzade Şöhret Bey'in düştüğü gülünç durumları anlatan ilk romanıdır. | 
Hüseyin Rahmi Gürpınar | Mürebbiye | Roman |  |  | Dehri Efendi'nin konağına alınan Fransız mürebbiye Anjel'in yol açtığı ahlaki yozlaşmayı ve aile faciasını anlatır. | 
Hüseyin Rahmi Gürpınar | Şıpsevdi | Roman |  |  | Meftun Bey karakteri üzerinden Batı hayranlığının körü körüne taklit edilmesini ve bunun yarattığı komik olayları hicveder. | 
Hüseyin Rahmi Gürpınar | Kuyruklu Yıldız Altında Bir İzdivaç | Roman |  |  | Halley Kuyruklu Yıldızı'nın dünyaya çarpacağı söylentisiyle yaşanan paniği ve bu ortamdaki bir aşk hikâyesini anlatır. | 
Hüseyin Rahmi Gürpınar | Gulyabani | Roman |  |  | Halk arasındaki batıl inançları ve cin-peri masallarını kullanarak sahtekârlık yapanları mizahi bir dille deşifre eder. | 
Hüseyin Rahmi Gürpınar | Cadı | Roman |  |  | Bir hortlak söylentisi etrafında gelişen, batıl inançların insan hayatını nasıl kararttığını gösteren bir romandır. | 
Hüseyin Rahmi Gürpınar | Mutallaka | Roman |  |  | Kaynana müdahalesi yüzünden bozulan bir evliliği ve mektuplar üzerinden yürüyen bir boşanma sürecini anlatır. | 
Hüseyin Rahmi Gürpınar | Metres | Roman |  |  | Rum bir metresin konak hayatına girmesiyle yaşanan toplumsal ve ahlaki sarsıntıları eleştirel bir dille işler. | 
Hüseyin Rahmi Gürpınar | Nimetşinas | Roman |  |  | Dürüstlük ve sadakat timsali hizmetçi Neriman'ın, girdiği konaktaki ahlaki çürümeye karşı verdiği mücadeleyi anlatır. | 
Hüseyin Rahmi Gürpınar | Sevda Peşinde | Roman |  |  | Tutku ve kıskançlığın insanı nasıl sürüklediğini, bir kadının yasak aşkı sonrası yaşanan dramları konu alır. | 
Hüseyin Rahmi Gürpınar | Toraman | Roman |  |  | Aile yapısını ve evliliklerdeki büyük yaş farklarının doğurduğu toplumsal uyumsuzlukları hicveden bir eserdir. | 
Hüseyin Rahmi Gürpınar | Efsuncu Baba | Roman |  |  | Defineler, muskalar ve büyücüler dünyasında kandırılan saf insanların trajikomik hikâyesini anlatır. | 
Hüseyin Rahmi Gürpınar | Ben Deli miyim? | Roman |  |  | Yazarın toplumsal değerleri sorguladığı, felsefi ve determinist düşüncelerini 'deneysel' bir kurguyla sunduğu romanıdır. | 
Hüseyin Rahmi Gürpınar | Namusla Açlık Meselesi | Hikâye |  |  | Ekonomik zorluklar altında ezilen insanların onurlarını koruma mücadelesini acı bir gerçekçilikle anlatan öykülerdir. | 
Hüseyin Rahmi Gürpınar | Kadınlar Vaizi | Hikâye |  |  | Toplumdaki dini istismarı ve kadın-erkek ilişkilerindeki komik ve aksak yönleri ele alan öykü kitabıdır. | 
Hüseyin Rahmi Gürpınar | Hazan Bülbülü | Tiyatro |  |  | Yaşlı ve zengin bir adamın genç bir kızla evlenme isteğinin doğurduğu aile içi karmaşayı anlatan bir oyundur. | 
Mehmet Akif Ersoy | Safahat | Şiir Koleksiyonu |  |  | Yedi kitaptan oluşan, toplumun sosyal ve dini meselelerini, cehaleti ve kurtuluş yollarını anlatan dev şiir külliyatıdır. | 
Mehmet Akif Ersoy | İstiklal Marşı | Şiir |  |  | 1921'de yazılan ve Türk ordusuna armağan edilen, bağımsızlık ruhunu en üst seviyede yansıtan milli marşımızdır. | 
Mehmet Akif Ersoy | Çanakkale Şehitlerine | Şiir |  |  | Asım kitabında yer alan, Çanakkale Savaşı'ndaki büyük direnişi ve şehitlerin kutsallığını destansı bir dille anlatan şiirdir. | 
Mehmet Akif Ersoy | Bülbül | Şiir |  |  | Bursa'nın işgali üzerine duyulan derin kederi lirik bir söyleyişle dile getiren ünlü şiiridir. | 
Mehmet Akif Ersoy | Seyfi Baba | Manzum Hikâye |  |  | Yoksul bir ihtiyarı ziyarete giden şairin, toplumdaki fakirlik ve kimsesizlik karşısındaki duyarlılığını anlatan eserdir. | 
Mehmet Akif Ersoy | Küfe | Manzum Hikâye |  |  | Babasından kalan küfeyle ailesine bakmaya çalışan yetim bir çocuğun dramını ve toplumun ona bakışını anlatır. | 
Mehmet Akif Ersoy | Mahalle Kahvesi | Manzum Hikâye |  |  | Toplumun gelişimini engelleyen atalet ve tembellik yuvası olarak gördüğü kahvehaneleri sert bir dille eleştirir. | 
Abdürreşid İbrahim | Alem-i İslam | Gezi / İnceleme |  |  | Asya İslam dünyasını ve Japonya'yı kapsayan seyahatleri boyunca tuttuğu notlardan oluşan kapsamlı bir incelemedir. | 
Fatma Aliye Hanım | Muhadarat | Roman |  |  | İlk telif romanıdır. Bir kadının evlilik ve aile içindeki zorluklara karşı duruşunu ve ahlaki değerlerini konu alır. | 
Fatma Aliye Hanım | Hayal ve Hakikat | Roman |  |  | Ahmet Mithat ile ortak yazılan bu eserde, hayallerle gerçeklerin çatışması kadın ve erkek bakış açısıyla sunulur. | 
Zafer Hanım | Aşk-ı Vatan | Roman |  |  | 1877'de yayımlanan bu eser, Türk edebiyat tarihinde bir kadın tarafından yazılmış ilk roman kabul edilir. | 
Vecihi | Mihridil | Roman |  |  | Namık Kemal'in etkisinde, romantik öğelerin ve vatanseverlik duygularının ön planda olduğu bir romandır. | 
Ebubekir Hazım Tepeyran | Küçük Paşa | Roman |  |  | Köy yaşamını ve Anadolu insanının sefaletini büyük bir gerçekçilikle anlatan, köy edebiyatının en önemli öncü eseridir. | 
