Tevfik Fikret | Rübab-ı Şikeste | Şiir |  |  | Tevfik Fikret'in ilk şiir kitabıdır (1899). Aşk, kahramanlık, aile sevgisi, doğa gibi konuları işlemiştir. Servetifünun tarzındaki şiirleri bu kitapta toplanmıştır. Kitabın başında bulunan "Süha ve Pervin" şiirindeki Süha karakteri, mizacıyla Fikret'in kendisini yansıtır. Şairin 1895 sonrası karamsar tavrı "Gayya-yı Vücud" şiirinde zirveye ulaşır; varlığını cehennem kuyusunda görecek kadar kötümserdir. "Perde-i Teselli"de 80 yaşındaki kör bir dilenciye dünyayı görmediği için gıpta eder. Bu karamsarlıktan kurtuluşu hayal, aşk ve sanatta bulur; "Yeşil Yurt" şiirinde hayali bir saadet ülkesi tasavvur eder. Dönemin modasına uyarak 19'u tabiat, 6'sı insanla ilgili olmak üzere tablo altı şiirler yazmış; yılın 12 ayını anlattığı şiirlerini "Aveng-i Şuhur"da, Fuzuli, Cenab, Nedim, Üstad Ekrem, Nef'i ve Hamid'i anlatanları ise "Aveng-i Tesavir"de toplamıştır. François Coopee etkisiyle yazdığı sosyal manzumeler merhamet duygusu taşır. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
Tevfik Fikret | Nesrin | Şiir (Manzum Hikâye) |  |  | Manzum hikâye türündedir. | 
Tevfik Fikret | Ramazan Sadakası | Şiir (Manzum Hikâye) |  |  | Manzum hikâye türündedir. | 
Tevfik Fikret | Hasta Çocuk | Şiir (Manzum Hikâye) |  |  | Manzum hikâye türündedir. | 
Tevfik Fikret | Ömr-i Muhayyel | Şiir |  |  | "Hayalî bir ömrü | 
Tevfik Fikret | Yağmur | Şiir |  |  | "'Küçük | 
Tevfik Fikret | Süha ve Pervin | Şiir |  |  | Rübab-ı Şikeste'nin başında bulunan ve şairin kendi mizacını yansıttığı şiirdir. | 
Tevfik Fikret | Gayya-yı Vücud | Şiir |  |  | Şairin hayata karşı karamsarlığının zirve yaptığı şiirdir. | 
Tevfik Fikret | Perde-i Teselli | Şiir |  |  | "Şairin | 
Tevfik Fikret | Yeşil Yurt | Şiir |  |  | Hayali bir saadet ülkesini tasvir ettiği şiiridir. | 
Tevfik Fikret | Aveng-i Şuhur | Şiir (Tablo Altı) |  |  | Yılın 12 ayını anlatan tablo altı şiirlerini içerir. | 
Tevfik Fikret | Aveng-i Tesavir | Şiir (Tablo Altı) |  |  | "Fuzuli | 
Tevfik Fikret | Güzellik | Makale |  |  | "Mirsad ve Malumat dergilerinde yayımlanan | 
Cenap Şahabettin | Tamat | Şiir |  |  | Cenap'ın gençlik dönemi şiirlerinden oluşan ilk şiir kitabıdır. | Doktor yüzbaşı olarak Tıbbiye'yi bitirmiş, cilt hastalıkları üzerine ihtisas için Paris'e gönderilmiştir. Paris'te edebiyatla da ilgilenmiştir. Şiirlerinde musiki ve pitoreskin kaynaşması görülür; "sone" tarzını ilk kez "Şi'r-i Nânüvişte" başlıklı şiirinde uygulamıştır. Ona göre sanat güzellik içindir; şiirlerinde sosyal konulara hiç değinmemiş, yalnızca kişisel konuları işlemiştir. Türk şiirine sembolizmi ve parnasizmi getiren şair olarak kabul edilir. Dili oldukça ağır ve sanatlıdır; "saat-i semenfam", "berf-i zerrin", "lerze-i rûşen" gibi yeni tamlamalar kullanmıştır. Hece ölçüsünü küçümsemiş, "parmak hesabı" diye nitelendirmiştir. Genç Kalemler hareketinin karşısında yer almıştır.
Cenap Şahabettin | Elhan-ı Şita | Şiir |  |  | Cenap'ın en ünlü şiiridir ve saf (öz) şiir tarzını yansıtır. Kış mevsiminin hüzünlü atmosferini müzikal bir dille betimler; bahara ait unsurlar saadeti, kışa ait unsurlar hüznü simgeler. Galip duygu, kaybolan bir saadet ve melankolidir. Halit Ziya'nın Mai ve Siyah romanındaki Ahmet Cemil'in kış şarkısı olarak da görülebilir. | Doktor yüzbaşı olarak Tıbbiye'yi bitirmiş, cilt hastalıkları üzerine ihtisas için Paris'e gönderilmiştir. Paris'te edebiyatla da ilgilenmiştir. Şiirlerinde musiki ve pitoreskin kaynaşması görülür; "sone" tarzını ilk kez "Şi'r-i Nânüvişte" başlıklı şiirinde uygulamıştır. Ona göre sanat güzellik içindir; şiirlerinde sosyal konulara hiç değinmemiş, yalnızca kişisel konuları işlemiştir. Türk şiirine sembolizmi ve parnasizmi getiren şair olarak kabul edilir. Dili oldukça ağır ve sanatlıdır; "saat-i semenfam", "berf-i zerrin", "lerze-i rûşen" gibi yeni tamlamalar kullanmıştır. Hece ölçüsünü küçümsemiş, "parmak hesabı" diye nitelendirmiştir. Genç Kalemler hareketinin karşısında yer almıştır.
Cenap Şahabettin | Şi'r-i Nânüvişte | Şiir |  |  | "Servetifünun'da sıkça kullanılan 'sone' nazım biçiminin ilk kez uygulandığı şiirdir." | 
Cenap Şahabettin | Tiryaki Sözleri | Özdeyiş |  |  | Türk edebiyatında özdeyiş türündeki ilk eserlerdendir. Servet-i Fünun dergisinde "Serseri Fikirler" başlığıyla yayınlanan sözlerden oluşur. "Beni korkutan; öldükten sonra cehenneme gitmek değil, hiçbir yere gitmemektir." gibi çarpıcı özdeyişler içerir. | Doktor yüzbaşı olarak Tıbbiye'yi bitirmiş, cilt hastalıkları üzerine ihtisas için Paris'e gönderilmiştir. Paris'te edebiyatla da ilgilenmiştir. Şiirlerinde musiki ve pitoreskin kaynaşması görülür; "sone" tarzını ilk kez "Şi'r-i Nânüvişte" başlıklı şiirinde uygulamıştır. Ona göre sanat güzellik içindir; şiirlerinde sosyal konulara hiç değinmemiş, yalnızca kişisel konuları işlemiştir. Türk şiirine sembolizmi ve parnasizmi getiren şair olarak kabul edilir. Dili oldukça ağır ve sanatlıdır; "saat-i semenfam", "berf-i zerrin", "lerze-i rûşen" gibi yeni tamlamalar kullanmıştır. Hece ölçüsünü küçümsemiş, "parmak hesabı" diye nitelendirmiştir. Genç Kalemler hareketinin karşısında yer almıştır.
Cenap Şahabettin | Hac Yolunda | Gezi Yazısı |  |  | Sıhhiye müfettişi olarak gönderildiği Cidde dönüşünde kaleme aldığı, Türk edebiyatının en güzel gezi yazılarından biri olarak kabul edilen eseridir. | Doktor yüzbaşı olarak Tıbbiye'yi bitirmiş, cilt hastalıkları üzerine ihtisas için Paris'e gönderilmiştir. Paris'te edebiyatla da ilgilenmiştir. Şiirlerinde musiki ve pitoreskin kaynaşması görülür; "sone" tarzını ilk kez "Şi'r-i Nânüvişte" başlıklı şiirinde uygulamıştır. Ona göre sanat güzellik içindir; şiirlerinde sosyal konulara hiç değinmemiş, yalnızca kişisel konuları işlemiştir. Türk şiirine sembolizmi ve parnasizmi getiren şair olarak kabul edilir. Dili oldukça ağır ve sanatlıdır; "saat-i semenfam", "berf-i zerrin", "lerze-i rûşen" gibi yeni tamlamalar kullanmıştır. Hece ölçüsünü küçümsemiş, "parmak hesabı" diye nitelendirmiştir. Genç Kalemler hareketinin karşısında yer almıştır.
Cenap Şahabettin | Avrupa Mektupları | Gezi Yazısı |  |  | I. Dünya Savaşı yıllarında Tasvir-i Efkar gazetesinin Avrupa'ya gönderdiği Cenap'ın Avrupa izlenimlerini topladığı, 1919'da kitaplaştırılan eseridir. | Doktor yüzbaşı olarak Tıbbiye'yi bitirmiş, cilt hastalıkları üzerine ihtisas için Paris'e gönderilmiştir. Paris'te edebiyatla da ilgilenmiştir. Şiirlerinde musiki ve pitoreskin kaynaşması görülür; "sone" tarzını ilk kez "Şi'r-i Nânüvişte" başlıklı şiirinde uygulamıştır. Ona göre sanat güzellik içindir; şiirlerinde sosyal konulara hiç değinmemiş, yalnızca kişisel konuları işlemiştir. Türk şiirine sembolizmi ve parnasizmi getiren şair olarak kabul edilir. Dili oldukça ağır ve sanatlıdır; "saat-i semenfam", "berf-i zerrin", "lerze-i rûşen" gibi yeni tamlamalar kullanmıştır. Hece ölçüsünü küçümsemiş, "parmak hesabı" diye nitelendirmiştir. Genç Kalemler hareketinin karşısında yer almıştır.
Cenap Şahabettin | Suriye Mektupları (Afak-ı Irak) | Gezi Yazısı |  |  | Suriye izlenimlerini anlatan gezi yazısıdır. | 
Cenap Şahabettin | Evrak-ı Eyyam | Makale / Deneme |  |  | Deneme türündeki yazılarını içerir. | 
Cenap Şahabettin | Nesr-i Harp | Makale / Deneme |  |  | Savaş konulu nesirlerini içerir. | 
Cenap Şahabettin | Nesr-i Sulh | Makale / Deneme |  |  | Barış konulu nesirlerini içerir. | 
Cenap Şahabettin | Körebe | Tiyatro |  |  | Cenap Şahabettin'in tiyatro türündeki eserlerindendir. | Doktor yüzbaşı olarak Tıbbiye'yi bitirmiş, cilt hastalıkları üzerine ihtisas için Paris'e gönderilmiştir. Paris'te edebiyatla da ilgilenmiştir. Şiirlerinde musiki ve pitoreskin kaynaşması görülür; "sone" tarzını ilk kez "Şi'r-i Nânüvişte" başlıklı şiirinde uygulamıştır. Ona göre sanat güzellik içindir; şiirlerinde sosyal konulara hiç değinmemiş, yalnızca kişisel konuları işlemiştir. Türk şiirine sembolizmi ve parnasizmi getiren şair olarak kabul edilir. Dili oldukça ağır ve sanatlıdır; "saat-i semenfam", "berf-i zerrin", "lerze-i rûşen" gibi yeni tamlamalar kullanmıştır. Hece ölçüsünü küçümsemiş, "parmak hesabı" diye nitelendirmiştir. Genç Kalemler hareketinin karşısında yer almıştır.
Cenap Şahabettin | Yalan | Tiyatro |  |  | - | 
Cenap Şahabettin | Küçük Beyler | Tiyatro |  |  | - | 
Halit Ziya Uşaklıgil | Sefile | Roman |  |  | - | 
Halit Ziya Uşaklıgil | Nemide | Roman |  |  | - | 
Halit Ziya Uşaklıgil | Bir Ölünün Defteri | Roman |  |  | - | 
Halit Ziya Uşaklıgil | Ferdi ve Şürekası | Roman |  |  | Yazarın ilk dönem romanlarından olup, bir ticarethane ve aile çevresinde gelişen olayları realist bir bakışla işler. | Türk edebiyatında Avrupa tarzında eser veren ilk büyük romancıdır. Fransız realist ve natüralist yazarlardan etkilenmiştir. Eserlerinde geniş tasvirlere ve derin psikolojik tahlillere yer vermiştir. Romanlarında İstanbul'daki eğitimli ve zengin kesimi, hikâyelerinde ise halkın arasına girmeye çalışmıştır. Arapça ve Farsça kelimelerle yüklü ağır bir dili vardır; ancak sağlığında eserlerini kendisi sadeleştirmiştir. "Hikaye" başlıklı yazısında roman hakkındaki görüşlerini dile getirmiştir. Mensur şiirin yetkin ilk örneklerini vermiştir. Hikâyelerinde Maupassant tarzı hakimdir.
Halit Ziya Uşaklıgil | Mai ve Siyah | Roman |  |  | Türk edebiyatında Batılı anlamda ilk büyük romanlardan sayılır. Ahmet Cemil tipinden hareketle Servetifünun kuşağının ideallerini, beklentilerini ve hayal kırıklıklarını anlatır. Mai (mavi), hayalleri ve umutları; siyah ise acı gerçekleri ve hayal kırıklıklarını sembolize eder. Ahmet Cemil, şair olma hayalleri kuran, zengin arkadaşı Hüseyin Nazmi'nin kız kardeşi Lamia'ya platonik aşk besleyen genç bir adamdır. Kız kardeşi İkbal'in mutsuz evliliği ve ölümü, Lamia'nın başkasıyla evlendirilmesi, edebi eserinin yayımlanamaması gibi olaylar sonucunda tüm hayalleri yıkılır; ömrünü adadığı şiirlerini ocağa atıp yakar ve İstanbul'dan Yemen'e kaçarak bir kaymakamlık göreviyle uzaklaşır. Ahmet Hamdi Tanpınar'ın "Ahmet Cemille Mülakat" başlıklı hayalî röportajı bu roman kahramanı üzerinden Servet-i Fünun edebiyatını değerlendirir. | Türk edebiyatında Avrupa tarzında eser veren ilk büyük romancıdır. Fransız realist ve natüralist yazarlardan etkilenmiştir. Eserlerinde geniş tasvirlere ve derin psikolojik tahlillere yer vermiştir. Romanlarında İstanbul'daki eğitimli ve zengin kesimi, hikâyelerinde ise halkın arasına girmeye çalışmıştır. Arapça ve Farsça kelimelerle yüklü ağır bir dili vardır; ancak sağlığında eserlerini kendisi sadeleştirmiştir. "Hikaye" başlıklı yazısında roman hakkındaki görüşlerini dile getirmiştir. Mensur şiirin yetkin ilk örneklerini vermiştir. Hikâyelerinde Maupassant tarzı hakimdir.
Halit Ziya Uşaklıgil | Aşk-ı Memnu | Roman |  |  | Batılı anlamda olgun bir roman tekniğiyle yazılmış, yasak bir aşkı ve bir Türk ailesinin çöküşünü konu alan başyapıtıdır. Zengin ve dul Adnan Bey'in genç karısı Bihter ile yeğeni Behlül arasındaki yasak aşk, alafranga özentinin ve ahlaki çöküntünün bir resmini sunar. Roman, derin psikolojik tahlilleri ve başarılı karakter çizimleriyle öne çıkar. | Türk edebiyatında Avrupa tarzında eser veren ilk büyük romancıdır. Fransız realist ve natüralist yazarlardan etkilenmiştir. Eserlerinde geniş tasvirlere ve derin psikolojik tahlillere yer vermiştir. Romanlarında İstanbul'daki eğitimli ve zengin kesimi, hikâyelerinde ise halkın arasına girmeye çalışmıştır. Arapça ve Farsça kelimelerle yüklü ağır bir dili vardır; ancak sağlığında eserlerini kendisi sadeleştirmiştir. "Hikaye" başlıklı yazısında roman hakkındaki görüşlerini dile getirmiştir. Mensur şiirin yetkin ilk örneklerini vermiştir. Hikâyelerinde Maupassant tarzı hakimdir.
Halit Ziya Uşaklıgil | Kırık Hayatlar | Roman |  |  | Üst üste gelen felaketler sonucu hayatı ve yuvası yıkılan bir adamın dramını anlatır. Hayal kırıklığı ve karamsarlık teması hakimdir. | Türk edebiyatında Avrupa tarzında eser veren ilk büyük romancıdır. Fransız realist ve natüralist yazarlardan etkilenmiştir. Eserlerinde geniş tasvirlere ve derin psikolojik tahlillere yer vermiştir. Romanlarında İstanbul'daki eğitimli ve zengin kesimi, hikâyelerinde ise halkın arasına girmeye çalışmıştır. Arapça ve Farsça kelimelerle yüklü ağır bir dili vardır; ancak sağlığında eserlerini kendisi sadeleştirmiştir. "Hikaye" başlıklı yazısında roman hakkındaki görüşlerini dile getirmiştir. Mensur şiirin yetkin ilk örneklerini vermiştir. Hikâyelerinde Maupassant tarzı hakimdir.
Halit Ziya Uşaklıgil | Nesl-i Ahir | Roman |  |  | "II. Meşrutiyet'ten sonra yazılmıştır. II. Abdülhamit döneminin siyasi baskısının insanlar üzerindeki etkilerini anlatan bir devir romanıdır." | 
Halit Ziya Uşaklıgil | Bir Şi'r-i Hayal | Hikâye |  |  | - | 
Halit Ziya Uşaklıgil | Bir Yazın Tarihi | Hikâye |  |  | - | 
Halit Ziya Uşaklıgil | Solgun Demet | Hikâye |  |  | - | 
Halit Ziya Uşaklıgil | Hepsinden Acı | Hikâye |  |  | - | 
Halit Ziya Uşaklıgil | Aşka Dair | Hikâye |  |  | - | 
Halit Ziya Uşaklıgil | Onu Beklerken | Hikâye |  |  | - | 
Halit Ziya Uşaklıgil | İhtiyar Dost | Hikâye |  |  | - | 
Halit Ziya Uşaklıgil | Kadın Pençesi | Hikâye |  |  | - | 
Halit Ziya Uşaklıgil | İzmir Hikayeleri | Hikâye |  |  | "1950'de oğlu tarafından yayımlanmıştır. 'Ali'nin Arabası' hikâyesinde Anadolu'ya yönelir." | 
Halit Ziya Uşaklıgil | Kabus | Tiyatro |  |  | - | 
Halit Ziya Uşaklıgil | Füruzan | Tiyatro |  |  | - | 
Halit Ziya Uşaklıgil | Fare | Tiyatro |  |  | - | 
